year,sub_sector_verbatim,planning_area,weight_of_market_share,customer_expectations_score,perceived_overall_quality_score,perceived_value_score,customer_satisfaction_score,customer_loyalty‎_user_trust_score,app_agg_convenience,app_agg_safety,app_agg_customer_service,app_agg_service_info,app_agg_comfort,app_agg_promo,app_agg_affordability
2019,TaxiorCarBookingApp,ANG MO KIO,0.516666667,62.605974,59.164544,72.729511,58.830962,71.84918,7.25,6,7,6.67,7.5,6,8
2019,TaxiorCarBookingApp,ANG MO KIO,1.483333333,63.127931,81.169859,66.666667,67.071266,84.862697,8.5,9.5,7.67,7.33,8,8,8
2018,TaxiorCarBookingApp,ANG MO KIO,0.682464455,77.602462,92.466999,83.33301,81.721265,83.368628,8.75,8.5,8.67,9,7.5,0,8
2017,TaxiorCarBookingApp,ANG MO KIO,1.095505618,69.788334,74.296735,77.422365,73.44394,84.839691,7.25,8.5,8,8.33,6.5,10,7
2017,TaxiorCarBookingApp,ANG MO KIO,0.758426966,73.916883,84.739864,94.622151,74.091904,80.284344,9,9,7.67,9,7,7,8
2017,TaxiorCarBookingApp,ANG MO KIO,0.575842697,81.638673,78.390014,66.666667,81.463652,89.395039,8.75,9,8.67,7.33,6.5,0,6
2016,TaxiorCarBookingApp,ANG MO KIO,1.488203267,88.965261,78.509296,78.146293,77.777778,83.405263,4,6.5,0,6.67,8,6,7
2016,TaxiorCarBookingApp,ANG MO KIO,1.154264973,37.179821,29.961271,32.964818,22.133415,31.798565,2.5,3.5,0,3.33,2.5,4,4
2018,TaxiorCarBookingApp,BEDOK,0.682464455,62.938748,73.822888,100,67.001444,85.362138,7.25,6.5,7.33,8,9,7,7
2017,TaxiorCarBookingApp,BEDOK,1.095505618,84.760341,88.332398,83.155627,81.463652,84.839691,8.25,8.5,9,9,8.5,9,8
2016,TaxiorCarBookingApp,BISHAN,1.488203267,70.513155,67.310383,66.666667,63.367683,62.676268,3.75,6.5,0,8.33,8.5,6,7
2017,TaxiorCarBookingApp,BUKIT BATOK,1.464185393,81.906326,77.722033,77.777778,80.815688,80.284344,8.75,9,8.33,7,7,10,7
2016,TaxiorCarBookingApp,BUKIT BATOK,1.488203267,37.179821,29.697864,27.962036,25.610012,25.803349,1.5,5,0,4,4.5,5,2
2016,TaxiorCarBookingApp,BUKIT BATOK,1.154264973,62.820179,74.230111,66.666667,73.35344,63.59713,3.5,9.5,0,6.33,8,6,10
2016,TaxiorCarBookingApp,BUKIT BATOK,1.154264973,62.996169,77.777778,77.777778,66.755473,75.587561,3.75,8.5,0,8.33,7,10,10
