"PLN_AREA_N","customer_expectations_score","perceived_overall_quality_score","perceived_value_score","customer_satisfaction_score","customer_loyalty‎_user_trust_score"
"Singapore, ANG MO KIO",71.9533333333333,56.6566666666667,50.17,51.7233333333333,53.0233333333333
"Singapore, BEDOK",71.84125,69.755,74.875,67.57125,74.34625
"Singapore, BISHAN",61.43,57.9133333333333,57.4666666666667,58.25,60.3966666666667
"Singapore, BUKIT BATOK",66.6585714285714,73.3157142857143,71.4042857142857,68.7271428571429,68.8142857142857
"Singapore, BUKIT MERAH",70.73,62.34,61.62,59.24,68.24
"Singapore, BUKIT PANJANG",64.835,68.44,66.485,63.365,67.055
"Singapore, BUKIT TIMAH",74.155,78.085,77.775,81.34,85.585
"Singapore, CHOA CHU KANG",70.43,72.7066666666667,68.46,62.9933333333333,62.6766666666667
"Singapore, CLEMENTI",57.49,70.17,66.665,62.48,66.35
"Singapore, GEYLANG",55.56,63.74,60.93,59.59,75.73
"Singapore, HOUGANG",61.7145454545455,64.2245454545454,64.0754545454545,56.9490909090909,56.82
"Singapore, JURONG EAST",65.3333333333333,70.3733333333333,68.4566666666667,63.98,60.4966666666667
"Singapore, JURONG WEST",70.2366666666667,68.8633333333333,73.9666666666667,66.9533333333333,74.2533333333333
"Singapore, PUNGGOL",77.8675,80.6075,76.39,72.88,69.335
"Singapore, QUEENSTOWN",59.42,74.21,77.78,67.19,69.65
"Singapore, SENGKANG",61.4166666666667,75.4466666666667,75.8666666666667,64.5366666666667,75.75
"Singapore, SERANGOON",60.22,54.815,57.0375,51.68,53.8025
"Singapore, TAMPINES",79.815,72.395,82.825,74.025,75.88
"Singapore, TANGLIN",85.77,88.94,78.13,78.43,87.57
"Singapore, TOA PAYOH",73.91,78.18,88.89,81.39,85.74
"Singapore, WOODLANDS",66.1225,69.47625,68.6475,66.60875,72.07375
"Singapore, YISHUN",80.4233333333333,76.5833333333333,77.78,70.64,66.9366666666667
