"PLN_AREA_N","customer_expectations_score","perceived_overall_quality_score","perceived_value_score","customer_satisfaction_score","customer_loyalty‎_user_trust_score"
"Singapore, ANG MO KIO",61.845,63.7725,60.685,56.4825,56.3225
"Singapore, BEDOK",70.88375,63.08875,64.545,63.3925,62.7375
"Singapore, BISHAN",70.63,49.37,46.625,44.505,49.225
"Singapore, BUKIT BATOK",72.215,63.754,65.087,61.603,61.688
"Singapore, BUKIT MERAH",70.296,66.932,63.298,62.234,69.758
"Singapore, BUKIT PANJANG",69.4750909090909,66.0192727272727,64.538,64.6401818181818,66.8507272727273
"Singapore, CHOA CHU KANG",66.5858333333333,64.28,60.5733333333333,65.8258333333333,66.07
"Singapore, CLEMENTI",71.722,72.154,67.684,67.908,70.086
"Singapore, GEYLANG",52.9425,54.53,60.985,56.46,56.6925
"Singapore, HOUGANG",75.257,65.225,66.072,65.268,65.37
"Singapore, JURONG EAST",70.4175,55.7525,55.6975,60.0025,60.3525
"Singapore, JURONG WEST",68.6308333333333,65.5633333333333,65.4516666666667,63.64,62.3125
"Singapore, KALLANG",59.11,22.23,38.89,37.08,30.35
"Singapore, MARINE PARADE",70.8,67.22,72.04,70.7,74.23
"Singapore, NOVENA",58.68,33.28,27.6,33.98,22.7
"Singapore, PASIR RIS",61.135,60.5833333333333,65.6566666666667,62.6033333333333,67.99
"Singapore, PUNGGOL",65.9488,64.9912,66.0912,64.1668,64.62
"Singapore, QUEENSTOWN",81.64,79.795,83.335,79.8,76.515
"Singapore, ROCHOR",68.67,72.195,80.305,66.845,73.89
"Singapore, SEMBAWANG",69.2166666666667,58.0766666666667,62.9666666666667,58.12,55.1
"Singapore, SENGKANG",63.9653333333333,63.9386666666667,67.4556666666667,64.691,66.414
"Singapore, SERANGOON",68.4811111111111,62.2,63.5622222222222,63.9488888888889,63.8544444444444
"Singapore, TAMPINES",70.7094444444444,63.7883333333333,63.2011111111111,62.9855555555556,66.6344444444444
"Singapore, TOA PAYOH",62.238,62.204,63.224,59.052,57.792
"Singapore, WOODLANDS",67.5527272727273,60.5918181818182,62.2045454545455,60.8636363636364,65.8327272727273
"Singapore, YISHUN",71.524375,63.238125,64.589375,62.191875,62.568125
