"PLN_AREA_N","customer_expectations_score","perceived_overall_quality_score","perceived_value_score","customer_satisfaction_score","customer_loyalty‎_user_trust_score"
"Singapore, ANG MO KIO",71.5633333333333,78.73,72.4,73.83,68.69
"Singapore, BEDOK",75.048,67.874,67.816,68.316,69.392
"Singapore, BISHAN",59.42,88.89,88.89,77.48,80.28
"Singapore, BUKIT BATOK",76.88,72.518,78.89,69.704,71.708
"Singapore, BUKIT MERAH",81.7466666666667,70.3366666666667,70.4933333333333,67.03,72.1566666666667
"Singapore, BUKIT PANJANG",70.256,70.204,76.74,71.698,78.09
"Singapore, CHOA CHU KANG",70.4933333333333,70.5366666666667,66.5466666666667,63.28,65.9133333333333
"Singapore, CLEMENTI",74.055,59.34,63.985,70.055,61.755
"Singapore, HOUGANG",74.7233333333333,69.58,75.7766666666667,67.4383333333333,69.7616666666667
"Singapore, JURONG EAST",81.4,63.08,72.13,62.97,74
"Singapore, JURONG WEST",75.2533333333333,71.2288888888889,67.9822222222222,68.6211111111111,69.26
"Singapore, MARINE PARADE",66.665,77.175,69.17,57.77,70.505
"Singapore, PASIR RIS",75.3533333333333,73.83,66.67,66.2833333333333,66.9766666666667
"Singapore, PUNGGOL",68.15,75.4266666666667,74.3033333333333,71.54,66.08
"Singapore, QUEENSTOWN",70.22,77.79,72.22,62.92,63.62
"Singapore, SEMBAWANG",69.93,79.475,77.78,77.815,74.485
"Singapore, SENGKANG",79.6833333333333,70.835,72.225,66.8516666666667,68.955
"Singapore, SERANGOON",74.025,70.315,76.16,70.53,70.6425
"Singapore, TAMPINES",69.136,68.68,66.098,66.56,66.299
"Singapore, TOA PAYOH",74.1,75.685,86.205,75.61,78.115
"Singapore, WOODLANDS",66.7,70.9257142857143,74.6828571428571,66.95,66.5071428571429
"Singapore, YISHUN",76.5366666666667,74.0066666666667,79.63,65.4833333333333,67.1466666666667
