"PLN_AREA_N","weighted_value"
"Singapore, BEDOK",768
"Singapore, BUKIT BATOK",3825
"Singapore, BUKIT MERAH",1692.33333333333
"Singapore, BUKIT PANJANG",6164.71428571429
"Singapore, BUKIT TIMAH",4166
"Singapore, CHOA CHU KANG",11353.6428571429
"Singapore, CLEMENTI",3756
"Singapore, DOWNTOWN CORE",NA
"Singapore, GEYLANG",3381.6
"Singapore, HOUGANG",10988
"Singapore, JURONG EAST",3774
"Singapore, JURONG WEST",11928.3157894737
"Singapore, KALLANG",2853
"Singapore, MARINE PARADE",1404
"Singapore, PASIR RIS",6938.30769230769
"Singapore, PAYA LEBAR",NA
