"PLN_AREA_N","weighted_percentage"
"Singapore, BUKIT MERAH",2.87965796964962
"Singapore, CHOA CHU KANG",1.48609603512645
"Singapore, GEYLANG",1.43852443226814
"Singapore, JURONG WEST",1.12761701883183
"Singapore, KALLANG",1.07880824468654
"Singapore, MARINE PARADE",0.79634425633013
"Singapore, PASIR RIS",5.24718089213712
"Singapore, PAYA LEBAR",NA
"Singapore, PUNGGOL",9.1154191905139
"Singapore, QUEENSTOWN",5.58632092635003
"Singapore, RIVER VALLEY",0.665321803899745
"Singapore, SEMBAWANG",8.11318250893602
"Singapore, SENGKANG",18.4265212645277
"Singapore, SERANGOON",10.7710665439524
"Singapore, TAMPINES",20.9721003403181
"Singapore, TOA PAYOH",8.26972881573596
"Singapore, WOODLANDS",24.4841827015689
"Singapore, YISHUN",14.8072387149248
