age,gender,monthly_income,instituition,region,location,type_of_student,type_of_employment,convenient_rental_car,difficulties_rental_car,reason_chosen_rental_car_company_convenient,reason_rental_car_convenience,reason_rental_car_occasions,affordable_bus,affordable_mrt,safe_taxi,safe_ride_hailing,safe_bus,safe_mrt,reason_taxi_comfort_of_privacy,reason_ride_hailing_ comfort_of_privacy,reason_ride_hailing_promotion,reason_taxi_promotion,customer_service_taxi,customer_service_ride_hailing,reason_ride_hailing_accessible,reason_taxi_more_accessible,reason_ride_hailing_easy_booking,cluster
22 - 25,Female,Below $500,SMU,North,Yishun,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Agree,Agree,Strongly Agree,Agree,0,0,1,1,Neutral,Neutral,1,1,0,1
22 - 25,Female,Below $500,SMU,West,Bukit Batok,Full-time Student,Employed Part-time,No,No,1,1,1,Agree,Agree,Agree,Agree,Agree,Agree,0,0,1,1,Agree,"Strongly Agree
",0,0,1,2
22 - 25,Male,Below $500,SIT,West,Bukit Batok,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Strongly Agree,Agree,Agree,Agree,0,0,1,0,Agree,"Strongly Agree
",1,0,1,2
18 - 21,Female,Below $500,SMU,East,Tampines,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Agree,Neutral,Agree,Agree,0,0,1,1,Strongly Agree,Agree,0,1,0,1
22 - 25,Female,Prefer not to say,SIM,East,Prefer not to say,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,Neutral,Neutral,0,0,0,1
22 - 25,Female,Below $500,NUS,North,Prefer not to say,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Agree,Neutral,Agree,Agree,0,0,0,0,Neutral,Agree,1,0,0,1
22 - 25,Female,Below $500,NTU,West,Choa Chu Kang,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,0,0,0,1,Neutral,Neutral,1,0,0,0
18 - 21,Female,"$501 - $1,000",NTU,West,Jurong West,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Strongly Agree,Agree,Agree,Agree,1,1,1,1,Strongly Agree,Agree,1,1,1,0
18 - 21,Male,Prefer not to say,SP,North-East,Punggol,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,"Strongly Agree
",Agree,Agree,Neutral,Neutral,0,1,1,1,Strongly Agree,"Strongly Agree
",1,1,0,1
18 - 21,Female,"$501 - $1,000",NTU,East,Bedok,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Disagree,Disagree,Agree,Agree,Agree,Agree,1,1,1,1,Neutral,Neutral,1,1,0,2
18 - 21,Female,Below $500,NUS,West,Clementi,Full-time Student,Employed Part-time,Have not rent before,Have not rent before,0,0,0,Strongly Agree,Agree,Neutral,Agree,Strongly Agree,Agree,0,0,1,1,Neutral,Agree,1,0,0,0
18 - 21,Male,"$501 - $1,000",NTU,North-East,Hougang,Full-time Student,Not employed,Yes,No,0,0,0,Strongly Agree,"Strongly Agree
",Neutral,Neutral,Neutral,Neutral,0,0,1,0,Neutral,Neutral,0,1,0,0
22 - 25,Female,"$501 - $1,000",SMU,Central,Bishan,Full-time Student,Employed Part-time,Have not rent before,Have not rent before,0,0,0,Neutral,Agree,Neutral,Neutral,Neutral,Agree,0,0,1,0,Neutral,Agree,1,1,0,2
26 - 29,Male,Prefer not to say,NTU,West,Jurong East,Full-time Student,Not employed,Yes,No,0,0,1,Strongly Agree,"Strongly Agree
",Neutral,Neutral,Agree,Neutral,0,0,0,0,Neutral,Disagree,0,0,0,0
22 - 25,Female,"$501 - $1,000",NTU,East,Simei,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Neutral,Neutral,Agree,Agree,Agree,Agree,0,1,1,0,Neutral,Neutral,1,1,1,1
18 - 21,Female,"$1,001 - $2,000
",NTU,West,Jurong West,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Strongly Agree,Agree,Strongly Agree,"Strongly Agree
",0,1,1,1,Agree,Agree,1,1,1,0
22 - 25,Female,Below $500,SIM,West,Jurong West,Full-time Student,Employed Part-time,Have not rent before,Have not rent before,0,0,0,Disagree,Neutral,Neutral,Agree,Agree,Agree,0,0,1,1,Agree,Neutral,0,0,0,0
18 - 21,Female,Below $500,SMU,East,Tanah Merah,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Neutral,Agree,Agree,Agree,0,0,0,0,Agree,Agree,0,1,0,1
18 - 21,Female,"$501 - $1,000",SMU,Central,Kallang / Whampao,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Agree,Agree,Strongly Agree,"Strongly Agree
",1,1,1,1,Agree,Agree,1,1,1,0
18 - 21,Female,"$501 - $1,000",TP,West,Jurong West,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Strongly Agree,"Strongly Agree
",Agree,Neutral,Agree,Neutral,0,1,1,1,Agree,Agree,1,0,1,0
22 - 25,Female,Prefer not to say,SMU,Central,Toa Payoh,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Agree,Agree,Disagree,Disagree,Agree,Agree,0,0,1,1,Disagree,Disagree,0,0,0,1
22 - 25,Female,"$2,001 - $3,000",SMU,North-East,Serangoon,Full-time Student,Employed Part-time,Have not rent before,Have not rent before,0,0,0,Strongly Agree,"Strongly Agree
",Neutral,Neutral,Agree,Agree,1,1,1,1,Agree,Agree,1,1,1,1
22 - 25,Female,Below $500,NTU,West,Jurong West,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Strongly Agree,"Strongly Agree
",Neutral,Neutral,Agree,Agree,0,0,0,0,Strongly Agree,"Strongly Agree
",1,1,0,0
22 - 25,Female,Prefer not to say,NUS,West,Choa Chu Kang,Full-time Student,Not employed,No,No,1,1,1,Neutral,Agree,Agree,Agree,Agree,Agree,0,1,1,1,Strongly Agree,"Strongly Agree
",0,0,0,0
18 - 21,Female,Below $500,SUSS,North,Woodlands,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Strongly Agree,Agree,Strongly Disagree,Agree,Neutral,Agree,1,0,0,1,Disagree,Neutral,0,0,1,1
18 - 21,Female,Below $500,NTU,North,Yishun,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Neutral,Neutral,Agree,Agree,Neutral,Agree,1,1,0,0,Agree,Agree,1,0,1,1
18 - 21,Female,Below $500,ITE College Central,West,Jurong West,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Strongly Agree,"Strongly Agree
",Strongly Agree,"Strongly Agree
",Strongly Agree,"Strongly Agree
",0,1,0,0,Agree,Agree,1,1,0,0
18 - 21,Female,"$501 - $1,000",NTU,North-East,Punggol,Full-time Student,Not employed,Have not rent before,Have not rent before,0,0,0,Strongly Agree,Agree,Agree,Neutral,Strongly Agree,Agree,0,1,1,0,Neutral,Neutral,0,0,1,1
