year,sub_sector_verbatim,planning_area,weight_of_market_share,customer_expectations_score,perceived_overall_quality_score,perceived_value_score,customer_satisfaction_score,customer_loyalty‎_user_trust_score,bus_agg_service_info,bus_agg_safety,bus_agg_comfort,bus_agg_convenience,bus_agg_customer_service
2019,Public Buses,SENGKANG,1.0,62.61,70.06,82.83,59.71,83.56,7.666666666666667,8.5,7.5,8.0,7.5
2019,Public Buses,SENGKANG,1.59,58.82,78.5,83.84,67.14,74.1,8.666666666666666,9.0,7.5,7.75,7.0
2019,Public Buses,PUNGGOL,1.59,92.95,96.61,88.89,86.09,68.24,8.333333333333334,8.5,9.5,9.25,9.0
2019,Public Buses,TAMPINES,1.59,89.41,74.17,76.76,69.94,72.97,8.333333333333334,7.0,7.0,8.0,9.0
2019,Public Buses,ANG MO KIO,1.0,81.84,74.17,66.67,59.71,63.51,9.0,7.5,8.0,7.5,8.0
2019,Public Buses,ANG MO KIO,0.81,63.68,29.22,17.17,36.61,32.88,6.666666666666667,6.0,5.5,7.25,7.5
2019,Public Buses,BUKIT BATOK,0.81,73.72,92.5,100.0,81.53,81.85,8.0,9.5,8.5,8.0,9.0
2019,Public Buses,BEDOK,1.59,74.51,73.45,76.76,70.35,78.83,8.0,7.0,8.0,8.5,8.0
2019,Public Buses,BEDOK,0.81,58.82,59.16,71.71,59.71,74.1,8.333333333333334,8.0,8.0,8.0,7.0
2019,Public Buses,BEDOK,0.81,78.3,73.45,88.89,66.67,69.37,8.0,8.0,8.5,7.5,7.5
2019,Public Buses,WOODLANDS,1.59,74.51,63.27,65.65,58.83,56.71,6.666666666666667,8.0,7.0,6.75,6.0
2019,Public Buses,BEDOK,1.0,63.4,70.28,77.78,66.26,68.24,8.333333333333334,8.5,7.5,7.25,8.0
2019,Public Buses,HOUGANG,1.0,76.98,77.78,88.89,74.1,74.1,7.333333333333333,8.5,8.5,8.0,8.0
2019,Public Buses,BUKIT BATOK,0.81,62.88,66.45,55.56,59.24,62.39,7.0,6.5,6.5,6.75,7.0
2019,Public Buses,BUKIT BATOK,1.59,59.34,70.06,55.56,58.83,62.39,6.333333333333333,7.0,7.0,7.0,7.0
2019,Public Buses,YISHUN,0.81,81.84,85.28,77.78,74.98,63.51,8.0,8.0,8.0,8.75,7.5
2019,Public Buses,BUKIT MERAH,0.81,70.73,62.34,61.62,59.24,68.24,6.666666666666667,7.0,6.0,7.25,7.0
2019,Public Buses,JURONG WEST,0.81,85.1,81.39,82.83,78.25,87.34,8.666666666666666,9.0,8.0,9.0,7.5
2019,Public Buses,BUKIT BATOK,1.0,70.45,55.56,66.67,59.71,53.87,7.333333333333333,8.0,9.0,7.5,8.5
2018,Public Buses,TOA PAYOH,0.74,73.91,78.18,88.89,81.39,85.74,8.666666666666666,9.5,10.0,9.5,9.5
2018,Public Buses,PUNGGOL,1.6,74.23,84.91,88.89,85.47,72.77,8.333333333333334,7.0,8.5,8.75,7.5
2018,Public Buses,YISHUN,0.74,85.2,81.76,77.78,77.97,70.56,9.333333333333334,8.0,8.5,9.0,8.5
2018,Public Buses,WOODLANDS,0.99,70.53,89.29,88.89,85.66,89.4,9.333333333333334,9.0,8.5,9.0,9.5
2018,Public Buses,WOODLANDS,1.6,59.11,70.24,77.78,59.5,74.22,7.0,7.0,7.5,6.75,7.5
2018,Public Buses,HOUGANG,0.74,66.81,66.65,66.67,55.56,57.59,7.333333333333333,6.0,8.0,6.0,6.5
2018,Public Buses,JURONG EAST,0.99,66.35,77.77,83.33,62.92,62.16,6.666666666666667,7.5,7.0,7.25,6.0
2018,Public Buses,BEDOK,0.99,89.03,63.1,83.33,70.08,65.45,7.666666666666667,8.0,9.0,7.5,7.0
2018,Public Buses,SERANGOON,1.6,59.25,59.13,72.22,58.97,56.67,6.333333333333333,6.0,7.0,6.75,6.0
2018,Public Buses,TAMPINES,0.99,70.22,70.62,88.89,78.11,78.79,8.333333333333334,8.0,7.5,7.75,8.0
2018,Public Buses,YISHUN,0.99,74.23,62.71,77.78,58.97,66.74,6.0,6.0,6.5,6.5,7.0
2018,Public Buses,WOODLANDS,1.6,62.8,67.06,61.11,66.33,74.22,7.0,7.5,7.5,7.0,8.5
2018,Public Buses,WOODLANDS,1.6,63.11,70.24,61.11,66.33,65.45,6.333333333333333,6.5,6.5,6.75,7.0
2018,Public Buses,JURONG EAST,0.99,62.98,66.68,61.11,70.08,58.5,6.666666666666667,7.0,7.5,7.75,7.0
2018,Public Buses,BEDOK,0.99,63.11,63.1,61.11,59.31,78.79,6.666666666666667,6.0,5.5,5.25,7.0
2018,Public Buses,BUKIT BATOK,0.74,66.81,84.92,94.44,85.14,89.4,8.666666666666666,8.5,9.0,8.75,8.5
2018,Public Buses,QUEENSTOWN,0.74,59.42,74.21,77.78,67.19,69.65,8.0,8.0,8.5,8.25,8.5
2018,Public Buses,HOUGANG,0.74,62.98,59.13,61.11,59.31,63.08,7.0,6.5,8.0,6.5,7.0
2018,Public Buses,PUNGGOL,1.6,70.36,66.68,61.11,55.56,66.74,6.0,6.5,6.0,6.0,7.0
2018,Public Buses,HOUGANG,1.6,70.53,63.09,66.67,55.56,61.79,6.0,6.0,6.5,6.25,6.5
