year,sub_sector_verbatim,planning_area,weight_of_market_share,customer_expectations_score,perceived_overall_quality_score,perceived_value_score,customer_satisfaction_score,customer_loyalty‎_user_trust_score,train_agg_service_info,train_agg_customer_service,train_agg_convenience,train_agg_comfort,train_agg_safety
2019,MRT/LRT,BUKIT PANJANG,0.04,66.14,81.39,83.84,70.82,70.14,9,8,8,7,7
2019,MRT/LRT,SENGKANG,0.19,70.73,62.34,61.62,58.83,67.12,8,7,6,6,6
2019,MRT/LRT,SENGKANG,0.19,70.45,59.67,72.73,59.24,62.39,7,7,6,6,6
2019,MRT/LRT,PUNGGOL,0.0,88.61,70.06,77.78,59.71,66.35,8,7,7,8,8
2019,MRT/LRT,PUNGGOL,0.0,62.88,65.95,60.6,59.24,57.66,7,4,7,7,6
2019,MRT/LRT,PUNGGOL,0.0,58.82,73.67,72.73,74.5,74.1,7,7,7,7,9
2019,MRT/LRT,PUNGGOL,0.0,69.93,63.06,60.6,62.51,62.39,7,7,6,6,6
2019,MRT/LRT,TAMPINES,1.03,77.78,65.95,60.6,59.24,67.12,6,7,7,7,6
2019,MRT/LRT,TAMPINES,0.84,63.13,70.28,83.84,63.39,75.99,8,7,8,7,7
2019,MRT/LRT,CLEMENTI,1.41,66.67,62.56,65.65,66.19,78.83,7,6,7,6,8
2019,MRT/LRT,HOUGANG,0.84,81.04,74.39,72.73,63.39,62.39,7,7,8,7,9
2019,MRT/LRT,BISHAN,0.84,59.62,25.61,21.21,18.95,31.76,6,5,3,6,5
2019,MRT/LRT,BUKIT MERAH,1.72,74.51,58.95,60.6,59.24,78.83,6,5,7,6,6
2019,MRT/LRT,BEDOK,1.72,63.4,55.56,71.71,55.56,62.39,7,6,7,7,6
2019,MRT/LRT,PASIR RIS,1.41,59.34,63.27,60.6,59.71,72.97,8,7,8,8,8
2019,MRT/LRT,JURONG EAST,1.84,59.62,66.67,55.56,62.51,68.24,6,7,6,7,6
2019,MRT/LRT,JURONG WEST,1.84,73.99,66.17,72.73,67.07,78.83,9,7,9,7,7
2019,MRT/LRT,SEMBAWANG,1.41,81.56,70.28,82.83,62.99,74.1,7,8,8,7,9
2019,MRT/LRT,YISHUN,1.72,62.88,63.27,67.68,58.83,68.24,7,6,7,7,6
2019,MRT/LRT,JURONG WEST,0.84,81.84,77.06,72.73,62.99,65.41,8,8,7,8,8
2019,MRT/LRT,TOA PAYOH,1.03,14.9,33.33,44.44,33.4,21.17,7,6,6,6,6
2019,MRT/LRT,BUKIT PANJANG,0.04,73.99,65.95,61.62,62.51,57.66,7,7,6,7,7
2019,MRT/LRT,BUKIT PANJANG,1.84,70.73,85.5,82.83,81.93,68.24,7,8,9,8,8
2019,MRT/LRT,BUKIT PANJANG,0.04,74.51,62.34,77.78,62.51,67.12,6,7,7,7,7
2019,MRT/LRT,SENGKANG,0.19,63.13,63.78,66.67,67.07,81.67,9,8,7,8,7
2019,MRT/LRT,SENGKANG,0.19,26.28,25.83,23.24,36.61,36.49,6,6,4,5,6
2019,MRT/LRT,PUNGGOL,1.03,63.4,77.06,72.73,70.35,62.39,8,7,9,7,9
2019,MRT/LRT,PUNGGOL,0.0,70.73,59.67,72.73,59.24,63.33,7,7,6,7,7
2019,MRT/LRT,TOA PAYOH,1.03,96.21,73.67,66.67,62.99,68.24,8,8,7,7,7
2019,MRT/LRT,GEYLANG,0.84,63.4,58.95,61.62,55.56,62.39,7,7,6,6,7
2019,MRT/LRT,BUKIT BATOK,1.84,59.34,66.45,61.62,59.24,75.04,7,7,7,6,7
2019,MRT/LRT,ROCHOR,1.03,58.82,66.67,82.83,62.99,75.04,8,7,7,7,7
2019,MRT/LRT,GEYLANG,1.41,26.28,25.83,21.21,36.61,23.42,7,6,4,6,6
2019,MRT/LRT,ANG MO KIO,1.84,58.82,36.73,38.38,37.01,30.63,6,6,6,6,6
2019,MRT/LRT,ANG MO KIO,1.72,58.82,74.39,76.76,63.39,62.39,7,8,7,8,8
2019,MRT/LRT,SEMBAWANG,1.84,66.67,33.33,39.4,40.76,26.67,6,7,7,5,7
2019,MRT/LRT,BUKIT MERAH,1.72,58.82,73.45,77.78,59.71,63.51,8,8,7,8,7
2019,MRT/LRT,JURONG WEST,0.84,84.83,74.39,72.73,67.07,72.97,7,7,7,8,8
2019,MRT/LRT,BUKIT MERAH,1.72,67.19,65.95,61.62,59.24,57.66,7,6,6,7,7
2019,MRT/LRT,TAMPINES,1.41,70.73,74.39,66.67,81.05,78.65,7,8,8,7,7
2018,MRT/LRT,SENGKANG,0.06,74.09,62.7,72.22,73.83,72.77,7,7,6,7,7
2018,MRT/LRT,SENGKANG,0.06,66.53,74.2,88.89,70.61,68.19,7,7,7,7,8
2018,MRT/LRT,GEYLANG,1.06,62.98,55.56,72.22,59.31,66.74,7,4,6,7,6
2018,MRT/LRT,PUNGGOL,1.06,26.09,32.93,22.22,36.75,36.38,6,5,5,6,4
2018,MRT/LRT,PUNGGOL,0.06,70.36,59.52,61.11,62.72,70.4,7,7,6,6,7
2018,MRT/LRT,SENGKANG,1.34,62.94,66.65,72.22,63.25,76.05,7,7,7,7,7
2018,MRT/LRT,SEMBAWANG,1.06,59.42,70.62,66.67,70.61,64.53,7,8,7,7,7
2018,MRT/LRT,BUKIT PANJANG,0.84,96.31,74.21,61.11,62.92,62.7,7,7,8,7,8
