planning_area,,year,weight_of_market_share,customer_expectations_score,perceived_overall_quality_score,perceived_value_score,customer_satisfaction_score,customer_loyalty‎_user_trust_score
ANGMOKIO,year,1.0,-0.47,-0.27,0.27,0.03,-0.05,0.16
ANGMOKIO,weight_of_market_share,-0.47,1.0,0.07,0.07,-0.08,-0.17,0.12
ANGMOKIO,customer_loyalty‎_user_trust_score,0.16,0.12,0.55,0.31,-0.08,0.5,1.0
ANGMOKIO,app_agg_convenience,0.43,-0.47,0.37,0.73,0.5,0.59,0.34
ANGMOKIO,app_agg_safety,0.4,0.02,0.34,0.65,0.18,0.41,0.73
ANGMOKIO,app_agg_customer_service,0.4,-0.51,0.36,0.47,0.22,0.65,0.58
ANGMOKIO,app_agg_service_info,0.32,-0.25,0.38,0.78,0.71,0.62,0.3
ANGMOKIO,app_agg_comfort,0.43,0.29,0.32,0.53,0.34,0.22,0.22
ANGMOKIO,app_agg_promo,0.16,0.41,-0.28,-0.04,0.14,-0.42,0.13
ANGMOKIO,app_agg_affordability,0.78,-0.23,-0.03,0.63,0.57,0.13,-0.06
BEDOK,year,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0
BEDOK,weight_of_market_share,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0
BEDOK,customer_loyalty‎_user_trust_score,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0
BEDOK,app_agg_convenience,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0
BEDOK,app_agg_safety,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0
BEDOK,app_agg_customer_service,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0
BEDOK,app_agg_service_info,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0
BEDOK,app_agg_comfort,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0
BEDOK,app_agg_promo,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0
BEDOK,app_agg_affordability,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0
BUKITBATOK,year,1.0,0.43,0.41,0.2,0.31,0.41,0.41
BUKITBATOK,weight_of_market_share,0.43,1.0,-0.36,-0.22,-0.2,-0.26,-0.45
