planning_area,,year,weight_of_market_share,customer_expectations_score,perceived_overall_quality_score,perceived_value_score,customer_satisfaction_score,customer_loyalty‎_user_trust_score
ANG MO KIO,year,1.0,0.0,0.0,0.0,0.0,-0.45,-0.89
ANG MO KIO,weight_of_market_share,0.0,1.0,0.95,-0.6,-0.6,0.4,-0.4
ANG MO KIO,customer_loyalty‎_user_trust_score,-0.89,-0.4,-0.32,0.4,0.4,0.4,1.0
ANG MO KIO,train_agg_service_info,0.89,0.2,0.32,0.2,0.2,0.0,-0.8
ANG MO KIO,train_agg_customer_service,0.94,-0.11,0.0,0.32,0.32,-0.21,-0.74
ANG MO KIO,train_agg_convenience,0.71,0.32,0.5,0.32,0.32,0.32,-0.63
ANG MO KIO,train_agg_comfort,0.94,-0.11,0.0,0.32,0.32,-0.21,-0.74
ANG MO KIO,train_agg_safety,-0.45,0.4,0.63,0.4,0.4,1.0,0.4
BEDOK,year,1.0,-0.67,-0.02,-0.06,0.55,-0.68,-0.44
BEDOK,weight_of_market_share,-0.67,1.0,0.34,0.07,-0.27,0.71,0.56
BEDOK,customer_loyalty‎_user_trust_score,-0.44,0.56,0.31,0.64,0.13,0.9,1.0
BEDOK,train_agg_service_info,0.91,-0.73,0.05,0.05,0.52,-0.65,-0.53
BEDOK,train_agg_customer_service,0.73,-0.91,-0.14,0.2,0.36,-0.55,-0.43
BEDOK,train_agg_convenience,0.75,-0.47,0.49,0.54,0.62,-0.17,-0.09
BEDOK,train_agg_comfort,0.91,-0.71,0.22,0.25,0.48,-0.51,-0.36
BEDOK,train_agg_safety,-0.4,0.42,0.65,0.76,0.22,0.76,0.55
BISHAN,year,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BISHAN,weight_of_market_share,-1.0,1.0,1.0,1.0,1.0,1.0,1.0
BISHAN,customer_loyalty‎_user_trust_score,-1.0,1.0,1.0,1.0,1.0,1.0,1.0
BISHAN,train_agg_service_info,-1.0,1.0,1.0,1.0,1.0,1.0,1.0
BISHAN,train_agg_customer_service,-1.0,1.0,1.0,1.0,1.0,1.0,1.0
BISHAN,train_agg_convenience,-1.0,1.0,1.0,1.0,1.0,1.0,1.0
BISHAN,train_agg_comfort,-1.0,1.0,1.0,1.0,1.0,1.0,1.0
BISHAN,train_agg_safety,-1.0,1.0,1.0,1.0,1.0,1.0,1.0
BUKIT BATOK,year,1.0,0.01,-0.5,-0.26,-0.58,-0.51,-0.09
BUKIT BATOK,weight_of_market_share,0.01,1.0,0.14,0.25,0.34,-0.24,0.18
BUKIT BATOK,customer_loyalty‎_user_trust_score,-0.09,0.18,-0.45,0.56,0.19,0.2,1.0
BUKIT BATOK,train_agg_service_info,0.88,-0.14,-0.44,-0.24,-0.42,-0.16,-0.14
BUKIT BATOK,train_agg_customer_service,0.49,0.13,-0.68,0.59,-0.17,0.08,0.43
BUKIT BATOK,train_agg_convenience,0.48,0.11,-0.78,0.25,0.18,0.37,0.34
BUKIT BATOK,train_agg_comfort,0.88,0.22,-0.53,-0.05,-0.41,-0.26,0.0
BUKIT BATOK,train_agg_safety,-0.56,0.22,0.14,0.66,0.49,0.42,0.16
BUKIT MERAH,year,1.0,0.0,-0.29,-0.29,0.58,-0.32,-0.29
BUKIT MERAH,weight_of_market_share,0.0,1.0,0.67,-0.67,0.45,-0.75,-0.22
BUKIT MERAH,customer_loyalty‎_user_trust_score,-0.29,-0.22,0.3,-0.3,-0.8,0.11,1.0
BUKIT MERAH,train_agg_service_info,-0.65,0.0,-0.34,0.67,0.11,0.62,-0.22
BUKIT MERAH,train_agg_customer_service,-0.44,-0.34,-0.67,0.87,0.1,0.86,-0.21
BUKIT MERAH,train_agg_convenience,-0.91,0.0,0.21,0.21,-0.58,0.41,0.53
BUKIT MERAH,train_agg_comfort,-0.3,-0.47,-0.79,0.95,0.16,0.88,-0.32
BUKIT MERAH,train_agg_safety,-0.65,-0.5,-0.45,0.89,-0.22,0.75,-0.22
BUKIT PANJANG,year,1.0,-0.38,-0.2,0.25,0.23,-0.04,-0.09
BUKIT PANJANG,weight_of_market_share,-0.38,1.0,0.42,-0.01,0.07,0.2,-0.17
BUKIT PANJANG,customer_loyalty‎_user_trust_score,-0.09,-0.17,0.13,0.18,0.24,0.44,1.0
BUKIT PANJANG,train_agg_service_info,0.83,-0.46,-0.21,0.43,0.36,0.22,0.25
BUKIT PANJANG,train_agg_customer_service,0.83,-0.41,-0.09,0.4,0.36,0.19,0.02
BUKIT PANJANG,train_agg_convenience,0.8,-0.4,-0.11,0.42,0.4,0.27,0.12
BUKIT PANJANG,train_agg_comfort,0.85,-0.45,-0.13,0.39,0.29,0.17,0.05
BUKIT PANJANG,train_agg_safety,0.09,0.01,0.2,0.39,0.41,0.45,0.08
CHOA CHU KANG,year,1.0,0.6,0.47,0.64,0.48,0.53,0.36
CHOA CHU KANG,weight_of_market_share,0.6,1.0,0.38,0.7,0.44,0.33,0.17
CHOA CHU KANG,customer_loyalty‎_user_trust_score,0.36,0.17,0.42,0.11,0.5,0.62,1.0
CHOA CHU KANG,train_agg_service_info,0.84,0.54,0.58,0.8,0.52,0.65,0.39
CHOA CHU KANG,train_agg_customer_service,0.77,0.36,0.63,0.53,0.74,0.61,0.71
CHOA CHU KANG,train_agg_convenience,0.8,0.48,0.7,0.69,0.81,0.78,0.52
CHOA CHU KANG,train_agg_comfort,0.9,0.64,0.29,0.61,0.43,0.56,0.57
CHOA CHU KANG,train_agg_safety,0.54,0.43,0.74,0.42,0.71,0.63,0.57
CLEMENTI,year,1.0,0.22,-0.34,-0.11,-0.34,-0.11,0.89
CLEMENTI,weight_of_market_share,0.22,1.0,0.0,-0.1,-0.9,-0.1,0.6
CLEMENTI,customer_loyalty‎_user_trust_score,0.89,0.6,-0.4,-0.3,-0.7,-0.3,1.0
