planning_area,,year,weight_of_market_share,customer_expectations_score,perceived_overall_quality_score,perceived_value_score,customer_satisfaction_score,customer_loyalty‎_user_trust_score,taxi_agg_service_info,taxi_agg_customer_service,taxi_agg_convenience,taxi_agg_comfort,taxi_agg_safety,taxi_agg_affordability
ANG MO KIO,year,1.0,0.0,0.87,0.87,0.87,0.87,0.0,-1.0,1.0,0.87,-0.5,0.87,1.0
ANG MO KIO,weight_of_market_share,0.0,1.0,-0.5,-0.5,0.5,0.5,-1.0,0.0,0.0,0.5,-0.87,-0.5,0.0
ANG MO KIO,customer_loyalty‎_user_trust_score,0.0,-1.0,0.5,0.5,-0.5,-0.5,1.0,0.0,0.0,-0.5,0.87,0.5,0.0
ANG MO KIO,taxi_agg_service_info,-1.0,0.0,-0.87,-0.87,-0.87,-0.87,0.0,1.0,-1.0,-0.87,0.5,-0.87,-1.0
ANG MO KIO,taxi_agg_customer_service,1.0,0.0,0.87,0.87,0.87,0.87,0.0,-1.0,1.0,0.87,-0.5,0.87,1.0
ANG MO KIO,taxi_agg_convenience,0.87,0.5,0.5,0.5,1.0,1.0,-0.5,-0.87,0.87,1.0,-0.87,0.5,0.87
ANG MO KIO,taxi_agg_comfort,-0.5,-0.87,0.0,0.0,-0.87,-0.87,0.87,0.5,-0.5,-0.87,1.0,0.0,-0.5
ANG MO KIO,taxi_agg_safety,0.87,-0.5,1.0,1.0,0.5,0.5,0.5,-0.87,0.87,0.5,0.0,1.0,0.87
ANG MO KIO,taxi_agg_affordability,1.0,0.0,0.87,0.87,0.87,0.87,0.0,-1.0,1.0,0.87,-0.5,0.87,1.0
BEDOK,year,1.0,0.67,0.31,-0.21,-0.36,-0.21,-0.36,-0.05,0.37,0.36,-0.05,0.29,-0.29
BEDOK,weight_of_market_share,0.67,1.0,0.3,-0.1,0.0,-0.1,-0.3,-0.36,-0.15,-0.2,-0.36,-0.36,-0.05
BEDOK,customer_loyalty‎_user_trust_score,-0.36,-0.3,0.7,0.9,0.7,0.9,1.0,0.67,0.46,0.3,0.67,0.21,0.82
BEDOK,taxi_agg_service_info,-0.05,-0.36,0.31,0.82,0.67,0.82,0.67,1.0,0.89,0.87,1.0,0.82,0.76
BEDOK,taxi_agg_customer_service,0.37,-0.15,0.41,0.62,0.36,0.62,0.46,0.89,1.0,0.97,0.89,0.92,0.5
BEDOK,taxi_agg_convenience,0.36,-0.2,0.2,0.5,0.3,0.5,0.3,0.87,0.97,1.0,0.87,0.97,0.41
BEDOK,taxi_agg_comfort,-0.05,-0.36,0.31,0.82,0.67,0.82,0.67,1.0,0.89,0.87,1.0,0.82,0.76
BEDOK,taxi_agg_safety,0.29,-0.36,0.05,0.36,0.15,0.36,0.21,0.82,0.92,0.97,0.82,1.0,0.26
BEDOK,taxi_agg_affordability,-0.29,-0.05,0.46,0.97,0.97,0.97,0.82,0.76,0.5,0.41,0.76,0.26,1.0
BUKIT BATOK,year,1.0,0.73,-0.71,0.0,-0.73,0.35,0.36,0.79,1.0,0.75,0.19,0.75,0.25
BUKIT BATOK,weight_of_market_share,0.73,1.0,-0.82,-0.67,-0.55,0.87,-0.26,0.8,0.73,0.43,0.81,0.11,0.54
BUKIT BATOK,customer_loyalty‎_user_trust_score,0.36,-0.26,0.21,0.87,0.13,-0.62,1.0,0.23,0.36,0.49,-0.68,0.81,-0.73
BUKIT BATOK,taxi_agg_service_info,0.79,0.8,-0.45,-0.22,-0.34,0.45,0.23,1.0,0.79,0.82,0.47,0.35,0.0
