year_of_survey,verbatim:_reasons_for_their_satisfaction_ratingss,verbatim:_suggested_areas_of_improvement
2020,they always greet me good morning and have smiles on their face everytime i board the bus. the ride is always smooth and they’re super patient when there’s wheelchair bound commuters!,"because 972 is a big double decker bus, when it stops at the bus stops it can be quite scary as the inertia is quite big so if you’re not holding on to anything or sitting down chances are you might shift a little bit or fall if you’re not careful. ho"
2020,Overall ride was positive,Frequency
2020,Reliable and fast,NOthing
2020,Its pleasant enough,hygiene of the bus
2020,Inaccurate bus arrival timing   Frequency and punctuality can be improved as the line gets long very quickly in view that many takes the feeder from Bt panjang.    Swerves can also be improved as sometimes it feels unsafe when seated on the upper deck,Punctuality and frequency
2020,Bus drivers are efficient and friendly and always greet the commuters. Bus are generally kept clean with the occasional dirty situation but that is not the driver's fault,Frequency of the buses in the weekday morning as it is a feeder service and a lot of people commute to the mrt station on 991.
2020,1. One of the direct buses that I can go to many places such as Hougang Mall and NEX from home.  2. More convenient and have a smooth ride.  3. I have no complains about it so everything goes well.,1. More frequency of buses.  2. Lesser arrival timing.
2020,Generally no complaints but status quo should be kept,Locations the bus goes to
2020,GETS ME TO WORK N HOME.,
2020,Overall very positive. Maybe the bus drivers can be told to be more friendly eg. Greet people when entering the bus,Occasional interaction with passengers (not excessive)
2020,Low frequency. 2 buses tend to  stick together,Improve the frequency
2020,it deserves this rating,the frequency
2020,Schedule not punctual   Poor driving skill make the ride very uncomfortable especially those standing.,Improved on the feedback given.
2020,High satisfaction,"Bus temperature, especially during cold weather"
2020,"It's a feeder bus, it's a short ride from home to interchange so not much can happen. Journey is smooth and I've not met a rude operator before. The journey is only unpleasant during peak periods where people cram to get on the bus.",Definitely provide double decker buses or the long bus during peak periods and not single decker buses.
2020,"Bus frequency can be shorter, Overall satisfied. Smooth journey",Bus frequency
2020,,not much to improve on
2020,I've had positive experiences so far.,"nothing that I can think of, I'm quite satisfied with my experience so far."
2020,The operator usually deploy buses with fewer seats on this route.,Use bus with higher sitting capacity
2020,nothing to find fault with,not at the moment
2020,No issue when travel,The frequency can be improved
2020,"The bus is clean, captain is professional",They can provide digital notification of upcoming bus stop information
2020,Satisfied with the services of buses. Only suggestion in improve the frequency of bus 335,frequency of the bus has to be more regular
2020,I like the route it takes. From where I live it's convenient and fast to get to the city.,Frequency
2020,Sometimes the bus rides were not so smooth,Timing (sometimes more than one bus arrive for pick up on the same time)
2020,The frequency and duration of the service was good.,
2020,"Some are enjoyable, some aren’t.",Ensuring safety of the special needs group.
2020,I feel safe and pleasure through out the whole journey,Smartphone charging points
2020,"frequent of the bus, smooth journey, bus driver really friendly and helpful to disable passenger.","few of the driver can't really break smoothly, so more on driving skills."
2020,"smooth rides, but occasionally longer wait than usual",arrival punctuality
2020,good,shorter duration
2020,I’ve never had a bad experience before.,Different drivers are different. Some are friendly and would greet their commuters but I recommend friendliness to be practiced among all drivers.
2020,The frequency of timing could be consistent.,Consistency on arrival times
2020,Good and have a lot of bus during the peak hour,To have even more bus due to the crowd
2020,Normal,Good
2020,It is one out of two buses available at my house bus stop,Frequency
2020,no specific reasons,no comment
