 Planning Area of Residence , Total , No Employed Person ," Below $1,000 "," $1,000 - $1,999 "," $2,000 - $2,999 "," $3,000 - $3,999 "," $4,000 - $4,999 "," $5,000 - $5,999 "," $6,000 - $6,999 "," $7,000 - $7,999 "," $8,000 - $8,999 "," $9,000 - $9,999 "," $10,000 - $10,999 "," $11,000 - $11,999 "," $12,000 - $12,999 "," $13,000 - $13,999 "," $14,000 - $14,999 "," $15,000 - $17,499 "," $17,500 - $19,999 "," $20,000 & Over "
Ang Mo Kio ,"60,220","11,455","1,563","4,228","3,572","4,020","3,381","3,134","2,943","2,672","2,210","2,386","1,947","1,795","1,363","1,425","1,156","2,661","1,841","6,466"
Bedok ,"97,551","16,818","2,203","5,278","5,245","5,521","4,641","5,102","3,868","4,229","3,455","3,641","3,291","2,685","2,620","2,564","1,838","4,080","3,349","17,125"
Bishan ,"29,445","4,412",508,983,910,"1,252",996,"1,225","1,307","1,078","1,060","1,014",903,983,900,854,805,"1,801","1,589","6,864"
Bukit Batok ,"54,297","5,983",847,"3,328","3,031","3,136","3,200","3,206","2,713","2,731","2,813","2,359","2,003","2,187","1,504","1,640","1,475","2,963","2,037","7,142"
Bukit Merah ,"59,700","12,444","1,899","4,583","3,478","3,465","2,339","2,557","2,173","2,255","1,826","1,787","2,012","1,748","1,536","1,337","1,360","3,129","2,025","7,748"
Bukit Panjang ,"43,580","4,389",665,"1,665","2,411","2,561","2,495","2,635","2,552","2,450","2,544","2,011","1,746","1,656","1,710","1,110","1,146","2,583","1,891","5,359"
Bukit Timah ,"24,612","3,846",294,364,455,356,474,559,485,623,575,488,617,553,482,445,471,"1,249","1,102","11,174"
Choa Chu Kang ,"58,024","4,463",904,"2,054","2,776","2,884","3,058","3,335","3,337","3,499","3,311","3,082","2,833","2,619","2,115","2,074","2,167","4,026","2,924","6,563"
Clementi ,"33,609","5,990",804,"1,656","1,508","1,558","1,410","1,626","1,556","1,315","1,231","1,099","1,199",993,906,941,702,"1,761","1,341","6,013"
Downtown Core ,"1,547",175,21,22,32,25,47,48,45,20,49,47,53,47,53,42,16,102,70,632
Geylang ,"42,060","6,991","1,030","2,826","2,860","2,661","2,383","2,385","2,127","1,635","1,622","1,654","1,561","1,397","1,057",954,912,"1,755","1,334","4,917"
Hougang ,"75,109","8,503","1,475","4,008","4,473","4,275","4,054","4,157","3,956","3,450","4,098","3,518","3,067","2,344","2,534","2,497","2,119","3,973","3,048","9,562"
Jurong East ,"27,213","4,256",550,"1,642","1,309","1,761","1,636","1,718","1,615","1,422","1,188","1,109",997,922,818,706,559,"1,416",988,"2,602"
Jurong West ,"83,879","8,069","1,399","4,460","4,060","4,636","5,286","5,308","5,368","4,806","4,739","4,441","4,077","3,456","3,257","3,037","2,512","5,049","3,007","6,910"
Kallang ,"40,832","8,433","1,355","3,127","2,379","2,051","1,925","1,769","1,554","1,436","1,325","1,357","1,394","1,112","1,205",917,768,"1,833","1,452","5,442"
Marine Parade ,"17,069","3,552",339,683,652,736,595,510,500,460,573,449,468,426,366,304,253,773,661,"4,770"
Novena ,"18,281","2,848",397,792,851,772,726,721,580,581,743,554,551,497,417,389,310,840,704,"5,010"
Outram ,"8,053","2,194",393,813,504,392,283,336,201,245,210,213,205,146,218,145,150,326,211,868
Pasir Ris ,"44,799","3,702",587,"1,198","1,408","1,691","1,768","2,318","2,078","2,281","1,994","2,438","2,230","2,017","2,104","1,608","1,643","3,415","2,434","7,885"
Punggol ,"56,166","3,531",877,"2,397","2,418","3,108","3,060","2,987","2,975","3,280","3,317","3,127","2,952","2,623","2,474","2,252","1,764","4,089","2,858","6,077"
Queenstown ,"37,053","7,776",774,"2,408","1,708","1,924","1,682","1,515","1,355","1,304","1,277","1,264","1,143",916,"1,174",933,787,"2,083","1,571","5,460"
River Valley ,"3,976",574,27,80,75,102,54,80,90,92,87,75,74,92,79,59,85,195,197,"1,860"
Sembawang ,"33,049","2,716",586,"1,395","1,695","2,066","1,979","2,090","1,931","1,925","1,882","1,783","1,645","1,397","1,237","1,310","1,190","1,866","1,511","2,847"
Sengkang ,"79,376","5,621","1,276","3,166","3,556","4,024","4,310","4,318","4,693","4,431","4,164","4,359","3,915","3,803","3,016","3,177","2,811","6,068","3,905","8,762"
Serangoon ,"38,086","5,318",496,"1,444","1,629","1,464","1,425","1,786","1,568","1,803","1,521","1,470","1,379","1,255","1,019","1,052","1,008","2,038","1,795","8,616"
Tampines ,"83,681","9,631","1,389","4,043","3,892","4,610","4,472","4,592","4,362","4,646","3,802","4,038","3,947","3,380","2,975","2,903","2,311","5,373","3,672","9,644"
Tanglin ,"7,938","1,210",71,84,104,132,127,191,109,155,185,122,186,129,154,146,102,356,397,"3,977"
Toa Payoh ,"46,880","10,015","1,296","2,987","2,376","2,603","2,504","2,089","2,072","1,791","2,004","1,413","1,484","1,400","1,202",863,912,"2,236","1,569","6,064"
Woodlands ,"78,839","7,133","1,293","3,913","4,488","5,132","5,032","5,584","5,249","5,025","4,606","4,596","3,379","3,239","2,861","2,903","2,152","4,524","2,669","5,064"
Yishun ,"75,403","8,698","1,551","4,455","4,912","4,869","4,935","5,056","4,736","4,224","3,894","3,501","3,458","3,040","2,324","2,349","1,883","3,689","2,429","5,399"
Others ,"12,233","1,698",139,489,576,398,436,555,563,256,510,385,405,352,267,106,230,635,543,"3,691"
