year,0-<1,1-<2,2-<3,3-<4,4-<5,5-<6,6-<7,7-<8,8-<9,9-<10,10-<11,11-<12,12-<13,13-<14,14-<15,15-<16,16-<17,17-<18,18-<19,19-<20,20->
2005,776,684,699,639,840,1290,819,767,922,674,1006,879,812,666,664,504,342,211,16,10,0
2006,985,778,686,701,629,816,1249,789,748,901,640,1004,865,784,639,625,483,312,193,4,0
2007,775,981,777,687,695,611,798,1225,768,729,885,630,999,856,761,604,615,458,281,57,0
2008,1506,778,980,775,686,695,598,783,1198,747,691,874,627,993,837,718,589,443,378,80,0
2009,1376,1505,778,978,773,681,687,575,759,1165,704,684,870,618,979,812,683,515,372,145,0
2010,1088,1376,1509,781,976,773,678,673,559,730,1063,688,680,862,604,959,790,618,436,93,0
2011,1502,1089,1376,1509,781,975,773,672,658,530,670,1053,683,671,841,580,941,701,543,104,0
2012,1130,1501,1086,1375,1508,781,971,766,663,605,421,654,1044,675,652,831,565,777,580,183,0
2013,1322,1130,1498,1087,1371,1504,782,971,750,636,467,415,639,998,631,606,798,485,713,262,0
2014,1666,1323,1130,1495,1085,1363,1495,779,963,711,519,459,401,623,892,521,509,559,382,234,0
2015,1780,1666,1322,1128,1493,1082,1358,1483,770,937,610,488,437,371,584,802,453,370,466,140,0
2016,1768,1780,1666,1320,1125,1487,1079,1355,1477,746,837,591,461,405,330,514,689,280,260,168,0
2017,1656,1766,1778,1664,1307,1123,1474,1071,1333,1441,671,814,552,432,374,280,436,391,168,83,0
2018,909,1661,1768,1776,1659,1298,1125,1464,1060,1311,1319,655,780,499,372,338,251,325,268,109,0
2019,1098,924,1664,1773,1778,1654,1295,1124,1456,1039,1240,1279,603,748,415,316,318,185,239,178,0
2020,596,1101,924,1658,1759,1746,1601,1251,1082,1413,949,1202,1214,572,704,337,294,233,143,132,1
