year,< 10, 10-15,16-20,21-25,26-30,31-35,36-40,41-45,46-50,51-55,56-60,61-65,66-70,> 70
2005,1467,4234,986,250,569,19,280,1391,417,16,9,0,9,3573
2006,1484,4363,1014,327,568,38,280,1479,480,18,10,0,9,3761
2007,1526,4629,1033,325,568,34,284,1484,533,21,10,0,4,3741
2008,1544,5114,1072,354,556,47,295,1527,598,20,10,0,4,3835
2009,1549,5349,1080,491,534,48,308,1563,677,21,9,0,4,4026
2010,1556,5370,1062,573,473,59,334,1702,801,22,8,2,4,3970
2011,1549,5604,1046,670,407,65,314,1940,887,34,9,11,4,4112
2012,1605,5571,991,716,357,67,353,1885,944,40,9,11,4,4215
2013,1592,5511,885,786,332,77,371,1857,1013,61,8,14,4,4554
2014,1484,5652,755,873,290,67,342,1782,1016,63,7,17,4,4757
2015,1406,5946,644,991,254,66,322,1762,1055,81,13,19,26,5155
2016,1382,6220,525,1045,249,64,299,1704,1095,120,24,32,43,5536
2017,1169,6384,442,1093,278,63,281,1784,1227,141,65,60,57,5770
2018,1237,6525,387,1081,281,65,262,1708,1252,153,35,36,59,5866
2019,1113,6860,337,1142,279,67,253,1651,1301,168,69,65,58,5963
2020,1027,6703,294,1127,281,69,252,1548,1252,166,68,69,59,5997
