age,gender,monthly_income,tertiary_student,instituition,region,location,type_of_student,type_of_employment,frequently_used_mot,frequency_mot,preferred_mot,factors_mot_ranking,overall_avg_spending,research,comfortable,explore,frequently_used_mot_cnt,most_preferred_mot,least_preferred_mot,most_impt_factor,least_impt_factor,frequency_bus,waiting_time_bus,reason_bus,reason_bus_travel_to_mrt_stations,reason_bus_recreation_destination,reason_bus_for_work_school,reason_bus_dont_feel_like_walking,reason_bus_no_other_choice,reason_bus_to_access_places_where_MRT_unavailable,affordable_bus,accesible_bus,safe_bus,prevent_bus,chartered_bus,frequency_mrt,spend_mrt,reason_mrt,reason_mrt_for_work_school,reason_mrt_recreation_destination,reason_mrt_to_bus_stop,reason_mrt_when_no_car,reason_mrt_to_visit_girlfriend,reason_mrt_when_late,reason_mrt_to_go_home,reason_mrt_to_pass_items_friends,mrt_lines,affordable_mrt,accessible_mrt,waiting_mrt,safe_mrt,prevent_mrt,mrt_lines_cnt,frequency_taxi,waiting_time_taxi,way_hail,reason_taxi,reason_taxi_more_accessible,reason_taxi_promotion,reason_taxi_cheaper,reason_taxi_convenient,reason_taxi_comfort_of_privacy,reason_taxi_travel_urgently,reason_taxi_no_choices,reason_taxi_no_last_bus_train,reason_taxi_drinking,reason_taxi_claimable,preference_rank_taxi,affordable_taxi,accessible_taxi,safe_taxi,customer_service_taxi,prevent_taxi,most_preferred_taxi,least_preferred_taxi,frequency_ride_hailing,reason_ride_hailing,reason_ride_hailing_promotion,reason_ride_hailing_easy_booking,reason_ride_hailing_convenient,reason_ride_hailing_accessible,reason_ride_hailing_ comfort_of_privacy,reason_ride_hailing_important_matters,reason_ride_hailing_rushing,ride_hailing_type,preference_rank_ride_hailing,affordable_ride_hailing,safe_ride_hailing,customer_service_ride_hailing,prevent_ride_hailing,used_ride_hailing_svc_cnt,most_preferred_ride_hailing,least_preferred_ride_hailing,own_driving_license,rent_before,preference_rank_rental_car,reason_chosen_rental_car_company,reason_chosen_rental_car_company_convenient,reason_chosen_rental_car_company_cheap,reason_chosen_rental_car_company_reasonable_fair_policies,reason_chosen_rental_car_company_overseas,reason_chosen_rental_car_company_ pplate,reason_chosen_rental_car_company_insurance_coverage,reason_chosen_rental_car_company_hourly_rental,frequency_rental,duration_rental,reason_rental_car,reason_rental_car_convenience,reason_rental_car_car_too_costly,reason_rental_car_occasions,reason_rental_car_lesser_liabilities,reason_rental_car_practice_driving ,difficulties_rental_car,convenient_rental_car,affordable_rental_car,reasonable_rental_car,type_rental_car,max_price_rental_car,biz_model_rental,biz_model_reason_rental,biz_model_important_rental,prevent_rental,type_rental_car_heard_cnt,aware_cdg,used_cdg,accessibility_cdg,cs_cdg,cost_cdg,comfort_cdg,reliability_cdg,info_cdg,overall_rating_cdg,incentives_cdg,aware_cdg_cnt,used_cdg_cnt
22 - 25,Female,Below $500,Yes,SMU,North,Yishun,Full-time Student,Not employed,"MRT, Bus",Once a week,"Ride-hailing services, MRT, Bus\xa0, Taxi, Car rentals, Others: Cycle, Walk, Drive","Physical Accessibility, Price, Safety, Reliability, Comfort, Waiting Time, Travel Time, Customer Service, Service Information",$50-$100,9,9,1,2,Ride-hailing services,"Others: Cycle, Walk, Drive",Physical Accessibility,Service Information,None,Less than 10 minutes,"When travelling to the nearby MRT Stations, Direct to recreation destination (e.g. food center, shopping malls, etc.), Directly to work/school",1,0,1,0,0,0,Agree,Strongly Agree,Strongly Agree,"Bulky items, Long waiting time, Long travel time",No,3-4 days per week,45-60 mins,"To get to work/school, ""To\xa0directly get to recreation destination of choice (eg: food centre, shopping centre, friends residence)""",1,1,0,0,0,0,0,0,North-South Line (Red Line),Agree,"Strongly Agree
","Strongly Agree
",Agree,"When Iâ€™m late and rushing to get to my destination , Bulky items",1,Never,5-10 mins,"Flag down, Use grab app ","When it is more accessible, When there is a promotion",1,1,0,0,0,0,0,0,0,0,"ComfortDelgro, Trans-Cab, SMRT Taxi, Premier Taxi, CityCab, Prime Taxi, Yellow-Top Taxi",Neutral,Neutral,Agree,Neutral,"Too costly, Private hire is cheaper",ComfortDelgro,Yellow-Top Taxi,Once a week,"When there is a promotion, When it is more accessible",1,0,0,1,0,0,0,"Grab, Gojek","Grab, Gojek, Ryde, Comfort DelGro, Others, Tada Mobility",Agree,Agree,Neutral,"Poor driving, Long wait time",2,Grab,Tada Mobility,Yes,No,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,Have not rent before,Have not rent before,Have not rent before,Have not rent before,"Tribecar, Grabcar Rental, BlueSG",$3.01 - $5,Free-floating,Convenience,6,"Inconvenient Pickup Locations, Costly, Safety of Car Maintenance, Type of rental car provided, Condition of the car",3,Taxi,Taxi,Somewhat satisfied,Neutral,Somewhat dissatisfied,Somewhat satisfied,Somewhat satisfied,Neutral,Neutral,"More locations to rent from, Competitive prices, Promotion codes, Giveaways and contests",1,1
22 - 25,Female,Below $500,Yes,SMU,West,Bukit Batok,Full-time Student,Employed Part-time,"Bus, MRT, Taxi, Ride-hailing services",3 - 4 days a week,"Ride-hailing services, Taxi, Bus\xa0, MRT, Others: Cycle, Walk, Drive, Car rentals","Travel Time, Price, Waiting Time, Comfort, Physical Accessibility, Reliability, Customer Service, Safety, Service Information",More than $150,6,3,4,4,Ride-hailing services,Car rentals,Travel Time,Service Information,2-4 times a week,10-20 minutes,"When travelling to the nearby MRT Stations, Directly to work/school, Direct to recreation destination (e.g. food center, shopping malls, etc.)",1,0,1,0,0,0,Agree,Agree,Agree,"Bulky items, Too crowded",No,One day per week,30-45 mins,"To get to work/school, ""To\xa0directly get to recreation destination of choice (eg: food centre, shopping centre, friends residence)""",1,1,0,0,0,0,0,0,"Downtown Line (Blue Line), North-South Line (Red Line), East-West Line (Green Line)",Agree,Agree,Agree,Agree,"Bulky items, Long travel time, Too crowded",3,Once a week,5-10 mins,Online/In-app,"When there is a promotion, When it is easy to book",0,1,0,0,0,0,0,0,0,0,"ComfortDelgro, Trans-Cab, CityCab, Prime Taxi, SMRT Taxi, Premier Taxi, Yellow-Top Taxi",Disagree,Disagree,Agree,Agree,"Too costly, Private hire is cheaper, Long waiting time",ComfortDelgro,Yellow-Top Taxi,3-4 days a week,"When it is easy to book, When there is a promotion, When it is more convenient",1,1,1,0,0,0,0,"Grab, Gojek, ComfortDelGro, Ryde","Grab, Comfort DelGro, Gojek, Ryde, Tada Mobility, Others",Neutral,Agree,"Strongly Agree
","Poor driving, Poor customer service, Too costly",4,Grab,Others,Yes,Yes,"BlueSG,  No preference, GetGo, Tribecar, LionCity Rental, Grabcar Rental, Lumens Auto",Convenient,1,0,0,0,0,0,0,Once a year,< 1 hour,"Convenience, Occasions, Too costly to own a car, Lesser liabilities",1,1,1,1,0,No,No,Strongly disagree,Disagree,,$3.01 - $5,Free-floating,"Convenience, Cost",8,"Inconvenient Pickup Locations, Costly, Safety of Car Maintenance, Insurance Coverage, Type of rental car provided",1,Taxi,Taxi,Neutral,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Neutral,"More locations to rent from, Competitive prices, Promotion codes, Free-floating Business model",1,1
22 - 25,Male,Below $500,Yes,SIT,West,Bukit Batok,Full-time Student,Not employed,"Bus, MRT, Ride-hailing services",Daily,"Bus\xa0, MRT, Ride-hailing services, Others: Cycle, Walk, Drive, Taxi, Car rentals","Price, Waiting Time, Travel Time, Reliability, Safety, Physical Accessibility, Comfort, Customer Service, Service Information",$50-$100,8,7,6,3,BusÂ ,Car rentals,Price,Service Information,Daily,Less than 10 minutes,"When travelling to the nearby MRT Stations, Directly to work/school, Direct to recreation destination (e.g. food center, shopping malls, etc.)",1,0,1,0,0,0,Agree,Agree,Agree,"Long waiting time, Bulky items",No,5-6 days per week,30-45 mins,"To get to work/school, ""To\xa0directly get to recreation destination of choice (eg: food centre, shopping centre, friends residence)""",1,1,0,0,0,0,0,0,"Downtown Line (Blue Line), East-West Line (Green Line), North-South Line (Red Line)",Agree,Agree,Agree,Agree,Long travel time,3,Never,Less than 5 mins,"Online/In-app, Flag down",When the price is cheaper ,0,0,1,0,0,0,0,0,0,0,"ComfortDelgro, Trans-Cab, CityCab, SMRT Taxi, Premier Taxi, Prime Taxi, Yellow-Top Taxi",Disagree,Agree,Strongly Agree,Agree,"Too costly, Private hire is cheaper",ComfortDelgro,Yellow-Top Taxi,Once a week,"When it is easy to book, When there is a promotion, When it is more accessible",1,1,0,1,0,0,0,"Grab, Gojek, ComfortDelGro","Grab, Gojek, Comfort DelGro, Ryde, Tada Mobility, Others",Neutral,Agree,"Strongly Agree
","Poor driving, Poor customer service",3,Grab,Others,Yes,No,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,Have not rent before,Have not rent before,Have not rent before,Have not rent before,"BlueSG, GetGO, Tribecar, Grabcar Rental",$5.01 - $7,Station-based,"Cost, Convenience",6,"Inconvenient Pickup Locations, Costly, Insurance Coverage",4,Taxi,Taxi,Somewhat satisfied,Somewhat satisfied,Neutral,Somewhat satisfied,Very satisfied,Somewhat satisfied,Somewhat satisfied,"More locations to rent from, Promotion codes",1,1
18 - 21,Female,Below $500,Yes,SMU,East,Tampines,Full-time Student,Not employed,"Bus, MRT",Daily,"MRT, Bus\xa0, Others: Cycle, Walk, Drive, Taxi, Ride-hailing services, Car rentals","Price, Travel Time, Comfort, Waiting Time, Physical Accessibility, Reliability, Customer Service, Service Information, Safety",$50-$100,10,10,10,2,MRT,Car rentals,Price,Safety,2-4 times a week,Less than 10 minutes,"When travelling to the nearby MRT Stations, Directly to work/school, Direct to recreation destination (e.g. food center, shopping malls, etc.)",1,0,1,0,0,0,Agree,Agree,Agree,"Long waiting time, Bulky items, Too crowded",No,5-6 days per week,30-45 mins,"To get to work/school, ""To\xa0directly get to recreation destination of choice (eg: food centre, shopping centre, friends residence)""",1,1,0,0,0,0,0,0,Downtown Line (Blue Line),Agree,Agree,Agree,Agree,Too crowded,1,Never,5-10 mins,"Flag down, Online/In-app","When it is more accessible, When there is a promotion",1,1,0,0,0,0,0,0,0,0,"ComfortDelgro, SMRT Taxi, Premier Taxi, Trans-Cab, CityCab, Prime Taxi, Yellow-Top Taxi",Agree,Agree,Agree,Strongly Agree,Too costly,ComfortDelgro,Yellow-Top Taxi,None,"When there is a promotion, When it is more convenient",1,0,1,0,0,0,0,Grab,"Grab, Comfort DelGro, Gojek, Ryde, Tada Mobility, Others",Agree,Neutral,Agree,"Too costly, Poor driving, Poor customer service",1,Grab,Others,No,No,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,Have not rent before,Have not rent before,Have not rent before,Have not rent before,BlueSG,$3.01 - $5,Free-floating,Convenience,5,"Costly, Age Restrictions",1,Taxi,Taxi,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Competitive prices,1,1
22 - 25,Female,Prefer not to say,Yes,SIM,East,Prefer not to say,Full-time Student,Not employed,"MRT, Bus",3 - 4 days a week,"Bus\xa0, MRT, Taxi, Ride-hailing services, Car rentals, Others: Cycle, Walk, Drive","Price, Travel Time, Comfort, Physical Accessibility, Reliability, Waiting Time, Safety, Service Information, Customer Service",$50-$100,7,7,7,2,BusÂ ,"Others: Cycle, Walk, Drive",Price,Customer Service,2-4 times a week,Less than 10 minutes,"Direct to recreation destination (e.g. food center, shopping malls, etc.)",0,0,0,0,0,0,Neutral,Neutral,Neutral,"Long travel time, Too crowded",No,3-4 days per week,30-45 mins,To get to work/school,1,0,0,0,0,0,0,0,East-West Line (Green Line),Neutral,Neutral,Neutral,Neutral,Long travel time,1,Never,5-10 mins,Online/In-app,When it is more convenient,0,0,0,1,0,0,0,0,0,0,"Premier Taxi, ComfortDelgro, Trans-Cab, CityCab, SMRT Taxi, Prime Taxi, Yellow-Top Taxi",Neutral,Neutral,Neutral,Neutral,Too costly,Premier Taxi,Yellow-Top Taxi,None,When it is more convenient,0,0,1,0,0,0,0,Grab,"Grab, Gojek, Ryde, Comfort DelGro, Tada Mobility, Others",Neutral,Neutral,Neutral,Too costly,1,Grab,Others,No,No,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,Have not rent before,Have not rent before,Have not rent before,Have not rent before,BlueSG,< $3,"Station-based, Free-floating",Cost,5,Costly,1,Taxi,Taxi,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,1,1
22 - 25,Female,Below $500,Yes,NUS,North,Prefer not to say,Full-time Student,Not employed,"Bus, MRT",3 - 4 days a week,"MRT, Bus\xa0, Ride-hailing services, Taxi, Car rentals, Others: Cycle, Walk, Drive","Price, Travel Time, Waiting Time, Physical Accessibility, Service Information, Reliability, Customer Service, Comfort, Safety",$50-$100,8,9,5,2,MRT,"Others: Cycle, Walk, Drive",Price,Safety,2-4 times a week,Less than 10 minutes,When travelling to the nearby MRT Stations,1,0,0,0,0,0,Agree,Agree,Agree,"Long waiting time, Too crowded",No,3-4 days per week,15-30 mins,To get to work/school,1,0,0,0,0,0,0,0,North-South Line (Red Line),Agree,Agree,Agree,Agree,"Long travel time, Too crowded",1,3-4 days a week,Less than 5 mins,Online/In-app,When it is more convenient,0,0,0,1,0,0,0,0,0,0,"ComfortDelgro, Premier Taxi, Trans-Cab, SMRT Taxi, Prime Taxi, Yellow-Top Taxi, CityCab",Disagree,Neutral,Agree,Neutral,Too costly,ComfortDelgro,CityCab,Once a week,When it is more accessible,0,0,0,1,0,0,0,"Grab, Gojek","Grab, Gojek, Comfort DelGro, Ryde, Tada Mobility, Others",Agree,Neutral,Agree,"Long wait time, Too costly",2,Grab,Others,No,No,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,Have not rent before,Have not rent before,Have not rent before,Have not rent before,"BlueSG, Tribecar, LionCity Rental, Grabcar Rental",$3.01 - $5,Free-floating,"Cost, Convenience",6,"Inconvenient Pickup Locations, Safety of Car Maintenance, Costly",4,Taxi,Taxi,Somewhat satisfied,Somewhat satisfied,Neutral,Somewhat satisfied,Somewhat satisfied,Neutral,Somewhat satisfied,,1,1
22 - 25,Female,Below $500,Yes,NTU,West,Choa Chu Kang,Full-time Student,Not employed,"MRT, Bus",3 - 4 days a week,"MRT, Bus\xa0, Others: Cycle, Walk, Drive, Ride-hailing services, Taxi, Car rentals","Price, Travel Time, Reliability, Waiting Time, Physical Accessibility, Safety, Service Information, Comfort, Customer Service",$50-$100,8,5,10,2,MRT,Car rentals,Price,Customer Service,2-4 times a week,10-20 minutes,"Directly to work/school, When travelling to the nearby MRT Stations, Direct to recreation destination (e.g. food center, shopping malls, etc.)",1,0,1,0,0,0,Neutral,Agree,Agree,"Long waiting time, Long travel time, Bulky items",No,3-4 days per week,30-45 mins,"To get to work/school, ""To\xa0directly get to recreation destination of choice (eg: food centre, shopping centre, friends residence)""",1,1,0,0,0,0,0,0,"East-West Line (Green Line), North-South Line (Red Line), Downtown Line (Blue Line)",Neutral,Agree,Disagree,Neutral,"Long wait time, Long travel time",3,Never,More than 10 mins,Online/In-app,"When there is a promotion, When it is more convenient",0,1,0,1,0,0,0,0,0,0,"ComfortDelgro, CityCab, Trans-Cab, Premier Taxi, SMRT Taxi, Prime Taxi, Yellow-Top Taxi",Neutral,Neutral,Neutral,Neutral,Too costly,ComfortDelgro,Yellow-Top Taxi,None,When it is more accessible,0,0,0,1,0,0,0,Grab,"Grab, Gojek, Comfort DelGro, Ryde, Tada Mobility, Others",Neutral,Neutral,Neutral,Long wait time,1,Grab,Others,No,No,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,Have not rent before,Have not rent before,Have not rent before,Have not rent before,BlueSG,$3.01 - $5,Free-floating,Convenience,5,Costly,1,Taxi,Taxi,Neutral,Neutral,Somewhat dissatisfied,Neutral,Somewhat satisfied,Neutral,Somewhat satisfied,Promotion codes,1,1
18 - 21,Female,"$501 - $1,000",Yes,NTU,West,Jurong West,Full-time Student,Not employed,"MRT, Bus",Daily,"MRT, Bus\xa0, Ride-hailing services, Others: Cycle, Walk, Drive, Taxi, Car rentals","Price, Travel Time, Physical Accessibility, Reliability, Customer Service, Service Information, Comfort, Waiting Time, Safety",$50-$100,8,8,7,2,MRT,Car rentals,Price,Safety,Daily,10-20 minutes,"Directly to work/school, Direct to recreation destination (e.g. food center, shopping malls, etc.)",0,0,1,0,0,0,Agree,Agree,Agree,"Long travel time, Long waiting time, Bulky items, Too crowded",No,Daily,0-15 mins,"To get to work/school, ""To\xa0directly get to recreation destination of choice (eg: food centre, shopping centre, friends residence)""",1,1,0,0,0,0,0,0,East-West Line (Green Line),Agree,"Strongly Agree
",Agree,Agree,"Bulky items, Too crowded",1,Never,5-10 mins,Online/In-app,"When it is more accessible, When I need the comfort of privacy, When it is more convenient, When it is easy to book, When there is a promotion",1,1,0,1,1,0,0,0,0,0,"ComfortDelgro, SMRT Taxi, CityCab, Premier Taxi, Trans-Cab, Prime Taxi, Yellow-Top Taxi",Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Too costly,ComfortDelgro,Yellow-Top Taxi,None,"When it is more accessible, When I need the comfort of privacy, When it is more convenient, When it is easy to book, When there is a promotion",1,1,1,1,1,0,0,"Grab, Gojek, ComfortDelGro","Grab, Gojek, Comfort DelGro, Ryde, Tada Mobility, Others",Agree,Agree,Agree,"Long wait time, Poor driving, Too costly",3,Grab,Others,Yes,No,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,Have not rent before,Have not rent before,Have not rent before,Have not rent before,"BlueSG, GetGO, Shariot ",< $3,Free-floating,"Convenience, Cost, Reliability",7,Costly,3,Taxi,Taxi,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,"More locations to rent from, Competitive prices, Promotion codes",1,1
18 - 21,Male,Prefer not to say,Yes,SP,North-East,Punggol,Full-time Student,Not employed,"MRT, Bus, Ride-hailing services",Daily,"MRT, Bus\xa0, Ride-hailing services, Others: Cycle, Walk, Drive, Taxi, Car rentals","Price, Travel Time, Waiting Time, Reliability, Customer Service, Safety, Service Information, Physical Accessibility, Comfort",$50-$100,8,9,8,3,MRT,Car rentals,Price,Comfort,Daily,Less than 10 minutes,When travelling to the nearby MRT Stations,1,0,0,0,0,0,Agree,Agree,Neutral,"Long waiting time, Too crowded",No,Daily,15-30 mins,To get to work/school,1,0,0,0,0,0,0,0,North-East Line (Purple Line),"Strongly Agree
",Agree,"Strongly Agree
",Neutral,Long wait time,1,Once a week,5-10 mins,Online/In-app,"When it is more accessible, When there is a promotion",1,1,0,0,0,0,0,0,0,0,"ComfortDelgro, SMRT Taxi, Premier Taxi, Trans-Cab, CityCab, Yellow-Top Taxi, Prime Taxi",Neutral,Agree,Agree,Strongly Agree,"Too costly, Poor customer service",ComfortDelgro,Prime Taxi,Once a week,"When it is more accessible, When I need the comfort of privacy, When there is a promotion",1,0,0,1,1,0,0,"Grab, Gojek, ComfortDelGro","Grab, Gojek, Comfort DelGro, Ryde, Tada Mobility, Others",Agree,Agree,"Strongly Agree
",Poor customer service,3,Grab,Others,No,No,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,Have not rent before,Have not rent before,Have not rent before,Have not rent before,"BlueSG, GetGO, Tribecar, LionCity Rental, Grabcar Rental, Lumens Auto",$5.01 - $7,Free-floating,Reliability,8,"Costly, Safety of Car Maintenance, Insurance Coverage",6,,,Somewhat satisfied,Somewhat satisfied,Neutral,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,,1,1
18 - 21,Female,"$501 - $1,000",Yes,NTU,East,Bedok,Full-time Student,Not employed,"MRT, Bus, Ride-hailing services",Daily,"Bus\xa0, MRT, Ride-hailing services, Taxi, Others: Cycle, Walk, Drive, Car rentals","Comfort, Travel Time, Reliability, Waiting Time, Safety, Price, Physical Accessibility, Service Information, Customer Service",$50-$100,7,7,5,3,BusÂ ,Car rentals,Comfort,Customer Service,2-4 times a week,Less than 10 minutes,"Directly to work/school, When travelling to the nearby MRT Stations, Direct to recreation destination (e.g. food center, shopping malls, etc.)",1,0,1,0,0,0,Disagree,Neutral,Agree,"Long waiting time, Long travel time, Too crowded",No,3-4 days per week,30-45 mins,"To get to work/school, ""To\xa0directly get to recreation destination of choice (eg: food centre, shopping centre, friends residence)""",1,1,0,0,0,0,0,0,"Circle Line (Orange/Yellow Line), East-West Line (Green Line), North-South Line (Red Line)",Disagree,Disagree,Agree,Agree,"Too crowded, Long travel time",3,Once a week,5-10 mins,Online/In-app,"When it is more accessible, When I need the comfort of privacy, When it is more convenient, When there is a promotion",1,1,0,1,1,0,0,0,0,0,"Trans-Cab, ComfortDelgro, Premier Taxi, CityCab, Prime Taxi, SMRT Taxi, Yellow-Top Taxi",Strongly Disagree,Neutral,Agree,Neutral,"Too costly, Private hire is cheaper",Trans-Cab,Yellow-Top Taxi,Once a week,"When it is more accessible, When I need the comfort of privacy, When it is more convenient, When there is a promotion",1,0,1,1,1,0,0,"Grab, Gojek, Ryde, ComfortDelGro","Ryde, Grab, Gojek, Comfort DelGro, Tada Mobility, Others","Strongly Disagree
",Agree,Neutral,"Long wait time, Poor customer service, Too costly, Poor driving",4,Ryde,Others,No,No,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,Have not rent before,Have not rent before,Have not rent before,Have not rent before,"BlueSG, Grabcar Rental, GetGO",< $3,Free-floating,"Convenience, Cost, Reliability",6,"Age Restrictions, Inconvenient Pickup Locations, Safety of Car Maintenance, Insurance Coverage, Type of rental car provided, Costly",3,Taxi,Taxi,Neutral,Neutral,Somewhat dissatisfied,Neutral,Neutral,Neutral,Neutral,"Giveaways and contests, Competitive prices, More locations to rent from, Promotion codes",1,1
