id,age,gender,monthly_income,tertiary_student,instituition,region,location,type_of_student,type_of_employment,frequently_used_mot,frequency_mot,preferred_mot,reason_least_preferred_mot,circ_least_preferred_mot,factors_mot_ranking,overall_avg_spending,research,comfortable,explore,frequently_used_mot_cnt,most_preferred_mot,least_preferred_mot,most_impt_factor,least_impt_factor,frequency_bus,waiting_time_bus,reason_bus,affordable_bus,accesible_bus,safe_bus,prevent_bus,chartered_bus,occasion_chartered_bus,price_chartered_bus,frequency_mrt,spend_mrt,reason_mrt,mrt_lines,affordable_mrt,accessible_mrt,waiting_mrt,safe_mrt,prevent_mrt,mrt_lines_cnt,frequency_taxi,waiting_time_taxi,way_hail,reason_taxi,preference_rank_taxi,affordable_taxi,accessible_taxi,safe_taxi,customer_service_taxi,difficulties_taxi,prevent_taxi,most_preferred_taxi,least_preferred_taxi,frequency_ride_hailing,reason_ride_hailing,ride_hailing_type,preference_rank_ride_hailing,reason_ride_hailing_company,affordable_ride_hailing,safe_ride_hailing,customer_service_ride_hailing,difficulties_ride_hailing,prevent_ride_hailing,used_ride_hailing_svc_cnt,most_preferred_ride_hailing,least_preferred_ride_hailing,own_driving_license,rent_before,preference_rank_rental_car,reason_rental_car_company,frequency_rental,duration_rental,reason_rental_car,difficulties_rental_car,difficulties_reason_rental_car,convenient_rental_car,convenient_reason_rental_car,affordable_rental_car,reasonable_rental_car,type_rental_car,perception_rental_car,max_price_rental_car,biz_model_rental,biz_model_reason_rental,biz_model_important_rental,prevent_rental,type_rental_car_heard_cnt,aware_cdg,used_cdg,accessibility_cdg,cs_cdg,cost_cdg,comfort_cdg,reliability_cdg,info_cdg,overall_rating_cdg,perception_cdg,improvement_cdg,incentives_cdg,aware_cdg_cnt,used_cdg_cnt
4,22 - 25,Female,Below $500,Yes,SMU,North,Yishun,Full-time Student,,"['MRT', 'Bus']",Once a week,"['Ride-hailing services', 'MRT', 'Bus\xa0', 'Taxi', 'Car rentals', 'Others: Cycle, Walk, Drive']",Expensive to rent a car. Singapore too hot to walk or ride a bike. No money to own a car to drive,When there is no choice,"['Physical Accessibility', 'Price', 'Safety', 'Reliability', 'Comfort', 'Waiting Time', 'Travel Time', 'Customer Service', 'Service Information']",$50-$100,9,9,1,2,Ride-hailing services,"Others: Cycle, Walk, Drive",Physical Accessibility,Service Information,None,Less than 10 minutes,"['When travelling to the nearby MRT Stations', 'Direct to recreation destination (e.g. food center, shopping malls, etc.)', 'Directly to work/school']",Agree,Strongly Agree,Strongly Agree,"['Bulky items', 'Long waiting time', 'Long travel time']",No,,I don't know,3-4 days per week,45-60 mins,"['To get to work/school', ""To\xa0directly get to recreation destination of choice (eg: food centre, shopping centre, friends' residence)""]",['North-South Line (Red Line)'],Agree,"Strongly Agree
","Strongly Agree
",Agree,"['When I’m late and rushing to get to my destination ', 'Bulky items']",1,Never,5-10 mins,"['Flag down', 'Use grab app ']","['When it is more accessible', 'When there is a promotion']","['ComfortDelgro', 'Trans-Cab', 'SMRT Taxi', 'Premier Taxi', 'CityCab', 'Prime Taxi', 'Yellow-Top Taxi']",Neutral,Neutral,Agree,Neutral,Yes when it is late at night. From SMU back to Yishun I remember waiting 1h for a ride but was not able to get any,"['Too costly', 'Private hire is cheaper']",ComfortDelgro,Yellow-Top Taxi,Once a week,"['When there is a promotion', 'When it is more accessible']","['Grab', 'Gojek']","['Grab', 'Gojek', 'Ryde', 'Comfort DelGro', 'Others', 'Tada Mobility']","['Familiar with the software, easy user interfac']",Agree,Agree,Neutral,Nil,"['Poor driving', 'Long wait time']",2,Grab,Tada Mobility,Yes,No,[''],[''],,,[''],,,,,,,"['Tribecar', 'Grabcar Rental', 'BlueSG']",,$3.01 - $5,['Free-floating'],['Convenience'],6,"['Inconvenient Pickup Locations', 'Costly', 'Safety of Car Maintenance', 'Type of rental car provided', 'Condition of the car']",3,['Taxi'],['Taxi'],Somewhat satisfied,Neutral,Somewhat dissatisfied,Somewhat satisfied,Somewhat satisfied,Neutral,Neutral,Just a taxi company,Not very sure don’t take them often,"['More locations to rent from', 'Competitive prices', 'Promotion codes', 'Giveaways and contests']",1,1
5,22 - 25,Female,Below $500,Yes,SMU,West,Bukit Batok,Full-time Student,Employed Part-time,"['Bus', 'MRT', 'Taxi', 'Ride-hailing services']",3 - 4 days a week,"['Ride-hailing services', 'Taxi', 'Bus\xa0', 'MRT', 'Others: Cycle, Walk, Drive', 'Car rentals']",Car Rentals are expensive. Destination too far to walk or cycle. ,If it's nearby or if car rentals are the cheaper option.,"['Travel Time', 'Price', 'Waiting Time', 'Comfort', 'Physical Accessibility', 'Reliability', 'Customer Service', 'Safety', 'Service Information']",More than $150,6,3,4,4,Ride-hailing services,Car rentals,Travel Time,Service Information,2-4 times a week,10-20 minutes,"['When travelling to the nearby MRT Stations', 'Directly to work/school', 'Direct to recreation destination (e.g. food center, shopping malls, etc.)']",Agree,Agree,Agree,"['Bulky items', 'Too crowded']",No,Going on a trip to somewhere with many people probably. ,$101 - $120,One day per week,30-45 mins,"['To get to work/school', ""To\xa0directly get to recreation destination of choice (eg: food centre, shopping centre, friends' residence)""]","['Downtown Line (Blue Line)', 'North-South Line (Red Line)', 'East-West Line (Green Line)']",Agree,Agree,Agree,Agree,"['Bulky items', 'Long travel time', 'Too crowded']",3,Once a week,5-10 mins,['Online/In-app'],"['When there is a promotion', 'When it is easy to book']","['ComfortDelgro', 'Trans-Cab', 'CityCab', 'Prime Taxi', 'SMRT Taxi', 'Premier Taxi', 'Yellow-Top Taxi']",Disagree,Disagree,Agree,Agree,"Peak hours, CBD or secluded areas","['Too costly', 'Private hire is cheaper', 'Long waiting time']",ComfortDelgro,Yellow-Top Taxi,3-4 days a week,"['When it is easy to book', 'When there is a promotion', 'When it is more convenient']","['Grab', 'Gojek', 'ComfortDelGro', 'Ryde']","['Grab', 'Comfort DelGro', 'Gojek', 'Ryde', 'Tada Mobility', 'Others']",['More affordable and competitive pricing.'],Neutral,Agree,"Strongly Agree
","Peak hours, CBD and secluded areas","['Poor driving', 'Poor customer service', 'Too costly']",4,Grab,Others,Yes,Yes,"['BlueSG', ' No preference', 'GetGo', 'Tribecar', 'LionCity Rental', 'Grabcar Rental', 'Lumens Auto']",['Convenient'],Once a year,< 1 hour,"['Convenience', 'Occasions', 'Too costly to own a car', 'Lesser liabilities']",No,,No,Near Shopping Malls or MRT stations or Estates area,Strongly disagree,Disagree,[''],,,['Free-floating'],"['Convenience', 'Cost']",8,"['Inconvenient Pickup Locations', 'Costly', 'Safety of Car Maintenance', 'Insurance Coverage', 'Type of rental car provided']",1,['Taxi'],['Taxi'],Neutral,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Neutral,,,"['More locations to rent from', 'Competitive prices', 'Promotion codes', 'Free-floating Business model']",1,1
12,22 - 25,Male,Below $500,Yes,SIT,West,Bukit Batok,Full-time Student,,"['Bus', 'MRT', 'Ride-hailing services']",Daily,"['Bus\xa0', 'MRT', 'Ride-hailing services', 'Others: Cycle, Walk, Drive', 'Taxi', 'Car rentals']",The price point,In dire situation where I can’t get grab/gojek and I’m in a rush,"['Price', 'Waiting Time', 'Travel Time', 'Reliability', 'Safety', 'Physical Accessibility', 'Comfort', 'Customer Service', 'Service Information']",$50-$100,8,7,6,3,Bus ,Car rentals,Price,Service Information,Daily,Less than 10 minutes,"['When travelling to the nearby MRT Stations', 'Directly to work/school', 'Direct to recreation destination (e.g. food center, shopping malls, etc.)']",Agree,Agree,Agree,"['Long waiting time', 'Bulky items']",No,,< $100,5-6 days per week,30-45 mins,"['To get to work/school', ""To\xa0directly get to recreation destination of choice (eg: food centre, shopping centre, friends' residence)""]","['Downtown Line (Blue Line)', 'East-West Line (Green Line)', 'North-South Line (Red Line)']",Agree,Agree,Agree,Agree,['Long travel time'],3,Never,Less than 5 mins,"['Online/In-app', 'Flag down']",['When the price is cheaper '],"['ComfortDelgro', 'Trans-Cab', 'CityCab', 'SMRT Taxi', 'Premier Taxi', 'Prime Taxi', 'Yellow-Top Taxi']",Disagree,Agree,Strongly Agree,Agree,,"['Too costly', 'Private hire is cheaper']",ComfortDelgro,Yellow-Top Taxi,Once a week,"['When it is easy to book', 'When there is a promotion', 'When it is more accessible']","['Grab', 'Gojek', 'ComfortDelGro']","['Grab', 'Gojek', 'Comfort DelGro', 'Ryde', 'Tada Mobility', 'Others']",['Because of ongoing promotion'],Neutral,Agree,"Strongly Agree
",,"['Poor driving', 'Poor customer service']",3,Grab,Others,Yes,No,[''],[''],,,[''],,,,,,,"['BlueSG', 'GetGO', 'Tribecar', 'Grabcar Rental']",,$5.01 - $7,['Station-based'],"['Cost', 'Convenience']",6,"['Inconvenient Pickup Locations', 'Costly', 'Insurance Coverage']",4,['Taxi'],['Taxi'],Somewhat satisfied,Somewhat satisfied,Neutral,Somewhat satisfied,Very satisfied,Somewhat satisfied,Somewhat satisfied,Rides are really comfy ,Lowering their price to compete with grab/gojek,"['More locations to rent from', 'Promotion codes']",1,1
13,18 - 21,Female,Below $500,Yes,SMU,East,Tampines,Full-time Student,,"['Bus', 'MRT']",Daily,"['MRT', 'Bus\xa0', 'Others: Cycle, Walk, Drive', 'Taxi', 'Ride-hailing services', 'Car rentals']",Expensive ,Running late,"['Price', 'Travel Time', 'Comfort', 'Waiting Time', 'Physical Accessibility', 'Reliability', 'Customer Service', 'Service Information', 'Safety']",$50-$100,10,10,10,2,MRT,Car rentals,Price,Safety,2-4 times a week,Less than 10 minutes,"['When travelling to the nearby MRT Stations', 'Directly to work/school', 'Direct to recreation destination (e.g. food center, shopping malls, etc.)']",Agree,Agree,Agree,"['Long waiting time', 'Bulky items', 'Too crowded']",No,,< $100,5-6 days per week,30-45 mins,"['To get to work/school', ""To\xa0directly get to recreation destination of choice (eg: food centre, shopping centre, friends' residence)""]",['Downtown Line (Blue Line)'],Agree,Agree,Agree,Agree,['Too crowded'],1,Never,5-10 mins,"['Flag down', 'Online/In-app']","['When it is more accessible', 'When there is a promotion']","['ComfortDelgro', 'SMRT Taxi', 'Premier Taxi', 'Trans-Cab', 'CityCab', 'Prime Taxi', 'Yellow-Top Taxi']",Agree,Agree,Agree,Strongly Agree,NIL,['Too costly'],ComfortDelgro,Yellow-Top Taxi,None,"['When there is a promotion', 'When it is more convenient']",['Grab'],"['Grab', 'Comfort DelGro', 'Gojek', 'Ryde', 'Tada Mobility', 'Others']",[''],Agree,Neutral,Agree,,"['Too costly', 'Poor driving', 'Poor customer service']",1,Grab,Others,No,No,[''],[''],,,[''],,,,,,,['BlueSG'],,$3.01 - $5,['Free-floating'],['Convenience'],5,"['Costly', 'Age Restrictions']",1,['Taxi'],['Taxi'],Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,,,['Competitive prices'],1,1
14,22 - 25,Female,Prefer not to say,Yes,SIM,East,Prefer not to say,,,"['MRT', 'Bus']",3 - 4 days a week,"['Bus\xa0', 'MRT', 'Taxi', 'Ride-hailing services', 'Car rentals', 'Others: Cycle, Walk, Drive']",,,"['Price', 'Travel Time', 'Comfort', 'Physical Accessibility', 'Reliability', 'Waiting Time', 'Safety', 'Service Information', 'Customer Service']",$50-$100,7,7,7,2,Bus ,"Others: Cycle, Walk, Drive",Price,Customer Service,2-4 times a week,Less than 10 minutes,"['Direct to recreation destination (e.g. food center, shopping malls, etc.)']",Neutral,Neutral,Neutral,"['Long travel time', 'Too crowded']",No,,I don't know,3-4 days per week,30-45 mins,['To get to work/school'],['East-West Line (Green Line)'],Neutral,Neutral,Neutral,Neutral,['Long travel time'],1,Never,5-10 mins,['Online/In-app'],['When it is more convenient'],"['Premier Taxi', 'ComfortDelgro', 'Trans-Cab', 'CityCab', 'SMRT Taxi', 'Prime Taxi', 'Yellow-Top Taxi']",Neutral,Neutral,Neutral,Neutral,-,['Too costly'],Premier Taxi,Yellow-Top Taxi,None,['When it is more convenient'],['Grab'],"['Grab', 'Gojek', 'Ryde', 'Comfort DelGro', 'Tada Mobility', 'Others']",[''],Neutral,Neutral,Neutral,,['Too costly'],1,Grab,Others,No,No,[''],[''],,,[''],,,,,,,['BlueSG'],,< $3,"['Station-based', 'Free-floating']",['Cost'],5,['Costly'],1,['Taxi'],['Taxi'],Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,,[''],1,1
15,22 - 25,Female,Below $500,Yes,NUS,North,Prefer not to say,Full-time Student,,"['Bus', 'MRT']",3 - 4 days a week,"['MRT', 'Bus\xa0', 'Ride-hailing services', 'Taxi', 'Car rentals', 'Others: Cycle, Walk, Drive']",Can't drive.,"When distance is walkable, but not quite applicable to where i'm staying/the places I frequent","['Price', 'Travel Time', 'Waiting Time', 'Physical Accessibility', 'Service Information', 'Reliability', 'Customer Service', 'Comfort', 'Safety']",$50-$100,8,9,5,2,MRT,"Others: Cycle, Walk, Drive",Price,Safety,2-4 times a week,Less than 10 minutes,['When travelling to the nearby MRT Stations'],Agree,Agree,Agree,"['Long waiting time', 'Too crowded']",No,,I don't know,3-4 days per week,15-30 mins,['To get to work/school'],['North-South Line (Red Line)'],Agree,Agree,Agree,Agree,"['Long travel time', 'Too crowded']",1,3-4 days a week,Less than 5 mins,['Online/In-app'],['When it is more convenient'],"['ComfortDelgro', 'Premier Taxi', 'Trans-Cab', 'SMRT Taxi', 'Prime Taxi', 'Yellow-Top Taxi', 'CityCab']",Disagree,Neutral,Agree,Neutral,-,['Too costly'],ComfortDelgro,CityCab,Once a week,['When it is more accessible'],"['Grab', 'Gojek']","['Grab', 'Gojek', 'Comfort DelGro', 'Ryde', 'Tada Mobility', 'Others']",[''],Agree,Neutral,Agree,,"['Long wait time', 'Too costly']",2,Grab,Others,No,No,[''],[''],,,[''],,,,,,,"['BlueSG', 'Tribecar', 'LionCity Rental', 'Grabcar Rental']",,$3.01 - $5,['Free-floating'],"['Cost', 'Convenience']",6,"['Inconvenient Pickup Locations', 'Safety of Car Maintenance', 'Costly']",4,['Taxi'],['Taxi'],Somewhat satisfied,Somewhat satisfied,Neutral,Somewhat satisfied,Somewhat satisfied,Neutral,Somewhat satisfied,,,[''],1,1
16,22 - 25,Female,Below $500,Yes,NTU,West,Choa Chu Kang,Full-time Student,,"['MRT', 'Bus']",3 - 4 days a week,"['MRT', 'Bus\xa0', 'Others: Cycle, Walk, Drive', 'Ride-hailing services', 'Taxi', 'Car rentals']",,,"['Price', 'Travel Time', 'Reliability', 'Waiting Time', 'Physical Accessibility', 'Safety', 'Service Information', 'Comfort', 'Customer Service']",$50-$100,8,5,10,2,MRT,Car rentals,Price,Customer Service,2-4 times a week,10-20 minutes,"['Directly to work/school', 'When travelling to the nearby MRT Stations', 'Direct to recreation destination (e.g. food center, shopping malls, etc.)']",Neutral,Agree,Agree,"['Long waiting time', 'Long travel time', 'Bulky items']",No,,< $100,3-4 days per week,30-45 mins,"['To get to work/school', ""To\xa0directly get to recreation destination of choice (eg: food centre, shopping centre, friends' residence)""]","['East-West Line (Green Line)', 'North-South Line (Red Line)', 'Downtown Line (Blue Line)']",Neutral,Agree,Disagree,Neutral,"['Long wait time', 'Long travel time']",3,Never,More than 10 mins,['Online/In-app'],"['When there is a promotion', 'When it is more convenient']","['ComfortDelgro', 'CityCab', 'Trans-Cab', 'Premier Taxi', 'SMRT Taxi', 'Prime Taxi', 'Yellow-Top Taxi']",Neutral,Neutral,Neutral,Neutral,Near lavender area,['Too costly'],ComfortDelgro,Yellow-Top Taxi,None,['When it is more accessible'],['Grab'],"['Grab', 'Gojek', 'Comfort DelGro', 'Ryde', 'Tada Mobility', 'Others']",[''],Neutral,Neutral,Neutral,,['Long wait time'],1,Grab,Others,No,No,[''],[''],,,[''],,,,,,,['BlueSG'],,$3.01 - $5,['Free-floating'],['Convenience'],5,['Costly'],1,['Taxi'],['Taxi'],Neutral,Neutral,Somewhat dissatisfied,Neutral,Somewhat satisfied,Neutral,Somewhat satisfied,Expensive ,More promo codes,['Promotion codes'],1,1
17,18 - 21,Female,"$501 - $1,000",Yes,NTU,West,Jurong West,Full-time Student,,"['MRT', 'Bus']",Daily,"['MRT', 'Bus\xa0', 'Ride-hailing services', 'Others: Cycle, Walk, Drive', 'Taxi', 'Car rentals']",Expensive ,In a rush ,"['Price', 'Travel Time', 'Physical Accessibility', 'Reliability', 'Customer Service', 'Service Information', 'Comfort', 'Waiting Time', 'Safety']",$50-$100,8,8,7,2,MRT,Car rentals,Price,Safety,Daily,10-20 minutes,"['Directly to work/school', 'Direct to recreation destination (e.g. food center, shopping malls, etc.)']",Agree,Agree,Agree,"['Long travel time', 'Long waiting time', 'Bulky items', 'Too crowded']",No,Many people going to the same destination ,I don't know,Daily,0-15 mins,"['To get to work/school', ""To\xa0directly get to recreation destination of choice (eg: food centre, shopping centre, friends' residence)""]",['East-West Line (Green Line)'],Agree,"Strongly Agree
",Agree,Agree,"['Bulky items', 'Too crowded']",1,Never,5-10 mins,['Online/In-app'],"['When it is more accessible', 'When I need the comfort of privacy', 'When it is more convenient', 'When it is easy to book', 'When there is a promotion']","['ComfortDelgro', 'SMRT Taxi', 'CityCab', 'Premier Taxi', 'Trans-Cab', 'Prime Taxi', 'Yellow-Top Taxi']",Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Pioneer ulu places ,['Too costly'],ComfortDelgro,Yellow-Top Taxi,None,"['When it is more accessible', 'When I need the comfort of privacy', 'When it is more convenient', 'When it is easy to book', 'When there is a promotion']","['Grab', 'Gojek', 'ComfortDelGro']","['Grab', 'Gojek', 'Comfort DelGro', 'Ryde', 'Tada Mobility', 'Others']",['Cheaper more convenient'],Agree,Agree,Agree,No ,"['Long wait time', 'Poor driving', 'Too costly']",3,Grab,Others,Yes,No,[''],[''],,,[''],,,,,,,"['BlueSG', 'GetGO', 'Shariot ']",Cheap,< $3,['Free-floating'],"['Convenience', 'Cost', 'Reliability']",7,['Costly'],3,['Taxi'],['Taxi'],Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Old school but good ,Cheaper more incentives ,"['More locations to rent from', 'Competitive prices', 'Promotion codes']",1,1
18,18 - 21,Male,Prefer not to say,Yes,SP,North-East,Punggol,Full-time Student,,"['MRT', 'Bus', 'Ride-hailing services']",Daily,"['MRT', 'Bus\xa0', 'Ride-hailing services', 'Others: Cycle, Walk, Drive', 'Taxi', 'Car rentals']",Too expensive and mostly unnecessary since Singapore is so connected. ,When the prices are at non peak hours. ,"['Price', 'Travel Time', 'Waiting Time', 'Reliability', 'Customer Service', 'Safety', 'Service Information', 'Physical Accessibility', 'Comfort']",$50-$100,8,9,8,3,MRT,Car rentals,Price,Comfort,Daily,Less than 10 minutes,['When travelling to the nearby MRT Stations'],Agree,Agree,Neutral,"['Long waiting time', 'Too crowded']",No,,$101 - $120,Daily,15-30 mins,['To get to work/school'],['North-East Line (Purple Line)'],"Strongly Agree
",Agree,"Strongly Agree
",Neutral,['Long wait time'],1,Once a week,5-10 mins,['Online/In-app'],"['When it is more accessible', 'When there is a promotion']","['ComfortDelgro', 'SMRT Taxi', 'Premier Taxi', 'Trans-Cab', 'CityCab', 'Yellow-Top Taxi', 'Prime Taxi']",Neutral,Agree,Agree,Strongly Agree,Nil,"['Too costly', 'Poor customer service']",ComfortDelgro,Prime Taxi,Once a week,"['When it is more accessible', 'When I need the comfort of privacy', 'When there is a promotion']","['Grab', 'Gojek', 'ComfortDelGro']","['Grab', 'Gojek', 'Comfort DelGro', 'Ryde', 'Tada Mobility', 'Others']",['More reliable and relatively affordable too.'],Agree,Agree,"Strongly Agree
",,['Poor customer service'],3,Grab,Others,No,No,[''],[''],,,[''],,,,,,,"['BlueSG', 'GetGO', 'Tribecar', 'LionCity Rental', 'Grabcar Rental', 'Lumens Auto']",It should be affordable because I see many of these company cars on the road. ,$5.01 - $7,['Free-floating'],['Reliability'],8,"['Costly', 'Safety of Car Maintenance', 'Insurance Coverage']",6,[''],[''],,,,,,,,,,[''],1,1
19,18 - 21,Female,"$501 - $1,000",Yes,NTU,East,Bedok,Full-time Student,,"['MRT', 'Bus', 'Ride-hailing services']",Daily,"['Bus\xa0', 'MRT', 'Ride-hailing services', 'Taxi', 'Others: Cycle, Walk, Drive', 'Car rentals']",Effort to walk and I can't drive.,Short distances,"['Comfort', 'Travel Time', 'Reliability', 'Waiting Time', 'Safety', 'Price', 'Physical Accessibility', 'Service Information', 'Customer Service']",$50-$100,7,7,5,3,Bus ,Car rentals,Comfort,Customer Service,2-4 times a week,Less than 10 minutes,"['Directly to work/school', 'When travelling to the nearby MRT Stations', 'Direct to recreation destination (e.g. food center, shopping malls, etc.)']",Disagree,Neutral,Agree,"['Long waiting time', 'Long travel time', 'Too crowded']",No,,I don't know,3-4 days per week,30-45 mins,"['To get to work/school', ""To\xa0directly get to recreation destination of choice (eg: food centre, shopping centre, friends' residence)""]","['Circle Line (Orange/Yellow Line)', 'East-West Line (Green Line)', 'North-South Line (Red Line)']",Disagree,Disagree,Agree,Agree,"['Too crowded', 'Long travel time']",3,Once a week,5-10 mins,['Online/In-app'],"['When it is more accessible', 'When I need the comfort of privacy', 'When it is more convenient', 'When there is a promotion']","['Trans-Cab', 'ComfortDelgro', 'Premier Taxi', 'CityCab', 'Prime Taxi', 'SMRT Taxi', 'Yellow-Top Taxi']",Strongly Disagree,Neutral,Agree,Neutral,-,"['Too costly', 'Private hire is cheaper']",Trans-Cab,Yellow-Top Taxi,Once a week,"['When it is more accessible', 'When I need the comfort of privacy', 'When it is more convenient', 'When there is a promotion']","['Grab', 'Gojek', 'Ryde', 'ComfortDelGro']","['Ryde', 'Grab', 'Gojek', 'Comfort DelGro', 'Tada Mobility', 'Others']",['Ryde is cheapest'],"Strongly Disagree
",Agree,Neutral,Raining with cheap prices.,"['Long wait time', 'Poor customer service', 'Too costly', 'Poor driving']",4,Ryde,Others,No,No,[''],[''],,,[''],,,,,,,"['BlueSG', 'Grabcar Rental', 'GetGO']",-,< $3,['Free-floating'],"['Convenience', 'Cost', 'Reliability']",6,"['Age Restrictions', 'Inconvenient Pickup Locations', 'Safety of Car Maintenance', 'Insurance Coverage', 'Type of rental car provided', 'Costly']",3,['Taxi'],['Taxi'],Neutral,Neutral,Somewhat dissatisfied,Neutral,Neutral,Neutral,Neutral,-,Cheaper prices.,"['Giveaways and contests', 'Competitive prices', 'More locations to rent from', 'Promotion codes']",1,1
